%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+7.064e+03	+3.308e+03	+9.270e+03	+0.319
0.100	+7.202e+03	+2.956e+03	+1.044e+04	+0.291
0.200	+7.743e+03	+3.906e+03	+9.773e+03	+0.335
0.300	+7.409e+03	+2.978e+03	+8.853e+03	+0.287
0.400	+7.774e+03	+3.069e+03	+1.079e+04	+0.283
0.500	+7.593e+03	+1.647e+03	+1.063e+04	+0.178
0.600	+6.857e+03	+3.770e+03	+1.031e+04	+0.355
0.700	+8.421e+03	+2.744e+03	+1.039e+04	+0.246
0.800	+8.166e+03	+2.332e+03	+1.005e+04	+0.222
0.900	+7.083e+03	+1.408e+03	+9.686e+03	+0.166
1.000	+7.060e+03	+2.452e+03	+9.536e+03	+0.258
1.100	+6.600e+03	+3.704e+03	+9.581e+03	+0.359
1.200	+8.084e+03	+2.747e+03	+9.506e+03	+0.254
1.300	+7.227e+03	+2.002e+03	+1.011e+04	+0.217
1.400	+7.657e+03	+2.418e+03	+1.046e+04	+0.240
1.500	+7.329e+03	+2.146e+03	+9.752e+03	+0.226
1.600	+6.539e+03	+2.396e+03	+9.060e+03	+0.268
1.700	+7.121e+03	+1.330e+03	+9.479e+03	+0.157
1.800	+7.403e+03	+2.698e+03	+9.116e+03	+0.267
1.900	+6.973e+03	+3.268e+03	+9.604e+03	+0.319
2.000	+7.799e+03	+1.681e+03	+1.100e+04	+0.177
2.100	+6.943e+03	+2.078e+03	+9.809e+03	+0.230
2.200	+7.049e+03	+3.936e+03	+9.284e+03	+0.358
2.300	+7.899e+03	+2.595e+03	+1.021e+04	+0.247
2.400	+8.539e+03	+2.893e+03	+9.387e+03	+0.253
2.500	+7.444e+03	+2.620e+03	+8.632e+03	+0.260
2.600	+8.069e+03	+2.836e+03	+1.011e+04	+0.260
2.700	+6.856e+03	+2.376e+03	+1.036e+04	+0.257
2.800	+8.327e+03	+2.544e+03	+9.455e+03	+0.234
2.900	+7.452e+03	+3.100e+03	+1.001e+04	+0.294
3.000	+6.068e+03	+3.331e+03	+1.117e+04	+0.354
3.100	+7.933e+03	+2.291e+03	+1.078e+04	+0.224
3.200	+7.849e+03	+2.783e+03	+1.051e+04	+0.262
3.300	+7.015e+03	+2.450e+03	+1.035e+04	+0.259
3.400	+6.937e+03	+2.370e+03	+1.051e+04	+0.255
3.500	+5.310e+03	+2.388e+03	+9.647e+03	+0.310
3.600	+7.509e+03	+2.754e+03	+9.237e+03	+0.268
3.700	+7.156e+03	+2.441e+03	+9.919e+03	+0.254
3.800	+7.761e+03	+2.246e+03	+9.673e+03	+0.224
3.900	+7.424e+03	+2.165e+03	+9.186e+03	+0.226
4.000	+8.249e+03	+2.543e+03	+1.124e+04	+0.236
4.100	+6.676e+03	+2.639e+03	+9.732e+03	+0.283
4.200	+7.820e+03	+2.392e+03	+1.010e+04	+0.234
4.300	+7.887e+03	+2.647e+03	+8.995e+03	+0.251
4.400	+7.127e+03	+1.870e+03	+1.059e+04	+0.208
4.500	+7.285e+03	+2.031e+03	+8.848e+03	+0.218
4.600	+6.350e+03	+1.926e+03	+9.561e+03	+0.233
4.700	+6.904e+03	+1.957e+03	+1.159e+04	+0.221
4.800	+6.553e+03	+2.718e+03	+9.500e+03	+0.293
4.900	+7.508e+03	+2.590e+03	+1.050e+04	+0.256
5.000	+7.666e+03	+1.825e+03	+1.088e+04	+0.192
5.100	+8.562e+03	+2.545e+03	+9.702e+03	+0.229
5.200	+8.223e+03	+3.452e+03	+9.143e+03	+0.296
5.300	+7.719e+03	+2.655e+03	+8.800e+03	+0.256
5.400	+8.085e+03	+3.309e+03	+9.644e+03	+0.290
5.500	+7.519e+03	+2.333e+03	+1.013e+04	+0.237
5.600	+8.363e+03	+2.236e+03	+1.031e+04	+0.211
5.700	+7.763e+03	+2.437e+03	+9.272e+03	+0.239
5.800	+7.970e+03	+3.077e+03	+1.042e+04	+0.279
5.900	+7.626e+03	+1.884e+03	+9.855e+03	+0.198
6.000	+8.092e+03	+2.812e+03	+8.414e+03	+0.258
6.100	+7.664e+03	+3.983e+03	+1.027e+04	+0.342
6.200	+8.363e+03	+2.753e+03	+9.698e+03	+0.248
6.300	+7.977e+03	+3.003e+03	+9.213e+03	+0.273
6.400	+6.757e+03	+9.210e+02	+9.967e+03	+0.120
6.500	+8.221e+03	+2.050e+03	+8.607e+03	+0.200
6.600	+6.668e+03	+3.690e+03	+8.373e+03	+0.356
6.700	+6.991e+03	+1.843e+03	+1.051e+04	+0.209
6.800	+7.869e+03	+2.758e+03	+1.006e+04	+0.260
6.900	+6.834e+03	+2.508e+03	+1.070e+04	+0.268
7.000	+7.363e+03	+3.626e+03	+9.269e+03	+0.330
7.100	+8.342e+03	+2.716e+03	+1.019e+04	+0.246
7.200	+7.086e+03	+2.093e+03	+8.971e+03	+0.228
7.300	+8.129e+03	+1.555e+03	+9.518e+03	+0.161
7.400	+7.613e+03	+2.150e+03	+9.971e+03	+0.220
7.500	+7.751e+03	+1.890e+03	+9.298e+03	+0.196
7.600	+6.758e+03	+2.070e+03	+1.006e+04	+0.234
7.700	+8.946e+03	+2.075e+03	+1.120e+04	+0.188
7.800	+7.703e+03	+2.145e+03	+1.071e+04	+0.218
7.900	+7.408e+03	+2.931e+03	+1.061e+04	+0.283
8.000	+6.896e+03	+2.178e+03	+7.917e+03	+0.240
8.100	+7.834e+03	+1.036e+03	+1.019e+04	+0.117
8.200	+8.347e+03	+2.413e+03	+9.399e+03	+0.224
8.300	+6.944e+03	+2.106e+03	+9.984e+03	+0.233
8.400	+7.633e+03	+2.764e+03	+9.518e+03	+0.266
8.500	+6.653e+03	+2.569e+03	+1.092e+04	+0.279
8.600	+7.073e+03	+2.993e+03	+9.118e+03	+0.297
8.700	+6.987e+03	+2.231e+03	+1.013e+04	+0.242
8.800	+7.105e+03	+1.520e+03	+1.032e+04	+0.176
8.900	+8.938e+03	+1.699e+03	+1.012e+04	+0.160
9.000	+7.489e+03	+2.892e+03	+9.295e+03	+0.279
9.100	+7.408e+03	+2.669e+03	+9.491e+03	+0.265
9.200	+6.770e+03	+2.532e+03	+9.411e+03	+0.272
9.300	+7.149e+03	+2.931e+03	+9.479e+03	+0.291
9.400	+6.345e+03	+1.541e+03	+1.044e+04	+0.195
9.500	+7.275e+03	+2.571e+03	+1.072e+04	+0.261
9.600	+6.953e+03	+2.108e+03	+1.023e+04	+0.233
9.700	+6.964e+03	+1.661e+03	+9.213e+03	+0.193
9.800	+7.640e+03	+2.885e+03	+1.017e+04	+0.274
9.900	+7.541e+03	+3.604e+03	+1.193e+04	+0.323
10.000	+8.924e+03	+3.372e+03	+9.403e+03	+0.274
10.100	+7.546e+03	+2.904e+03	+9.937e+03	+0.278
10.200	+7.899e+03	+2.684e+03	+1.011e+04	+0.254
10.300	+8.481e+03	+3.401e+03	+9.429e+03	+0.286
10.400	+7.767e+03	+2.707e+03	+1.041e+04	+0.258
10.500	+5.169e+03	+2.723e+03	+9.669e+03	+0.345
10.600	+7.520e+03	+2.248e+03	+1.022e+04	+0.230
10.700	+7.284e+03	+3.402e+03	+8.989e+03	+0.318
10.800	+7.092e+03	+2.431e+03	+9.966e+03	+0.255
10.900	+8.451e+03	+2.783e+03	+9.444e+03	+0.248
11.000	+6.879e+03	+1.873e+03	+9.760e+03	+0.214
11.100	+8.420e+03	+2.588e+03	+1.037e+04	+0.235
11.200	+7.649e+03	+2.727e+03	+1.046e+04	+0.263
11.300	+8.575e+03	+2.814e+03	+1.035e+04	+0.247
11.400	+6.857e+03	+2.083e+03	+1.007e+04	+0.233
11.500	+8.795e+03	+2.283e+03	+9.419e+03	+0.206
11.600	+6.943e+03	+1.893e+03	+9.720e+03	+0.214
11.700	+7.349e+03	+2.701e+03	+1.119e+04	+0.269
11.800	+7.959e+03	+2.775e+03	+9.560e+03	+0.259
11.900	+6.565e+03	+2.731e+03	+1.036e+04	+0.294
12.000	+6.586e+03	+1.319e+03	+1.087e+04	+0.167
12.100	+7.777e+03	+3.061e+03	+9.116e+03	+0.282
12.200	+6.880e+03	+1.391e+03	+1.016e+04	+0.168
12.300	+7.706e+03	+1.736e+03	+9.905e+03	+0.184
12.400	+6.568e+03	+3.213e+03	+9.326e+03	+0.329
12.500	+7.638e+03	+2.644e+03	+9.711e+03	+0.257
12.600	+7.462e+03	+3.107e+03	+1.000e+04	+0.294
12.700	+8.019e+03	+2.581e+03	+1.005e+04	+0.243
12.800	+7.841e+03	+1.838e+03	+1.096e+04	+0.190
12.900	+6.608e+03	+2.140e+03	+9.491e+03	+0.245
13.000	+6.902e+03	+2.122e+03	+9.716e+03	+0.235
13.100	+8.092e+03	+1.975e+03	+1.025e+04	+0.196
13.200	+7.020e+03	+3.789e+03	+1.090e+04	+0.351
13.300	+5.887e+03	+1.211e+03	+1.097e+04	+0.171
13.400	+7.383e+03	+2.309e+03	+9.847e+03	+0.238
13.500	+6.766e+03	+2.468e+03	+9.699e+03	+0.267
13.600	+6.996e+03	+1.283e+03	+9.416e+03	+0.155
13.700	+6.934e+03	+2.236e+03	+9.969e+03	+0.244
13.800	+7.874e+03	+2.708e+03	+1.030e+04	+0.256
13.900	+7.136e+03	+2.501e+03	+1.076e+04	+0.259
14.000	+8.558e+03	+2.524e+03	+9.572e+03	+0.228
14.100	+7.542e+03	+2.761e+03	+9.947e+03	+0.268
14.200	+7.877e+03	+1.845e+03	+1.057e+04	+0.190
14.300	+6.927e+03	+2.684e+03	+1.093e+04	+0.279
14.400	+7.689e+03	+2.794e+03	+1.006e+04	+0.267
14.500	+7.153e+03	+2.226e+03	+1.101e+04	+0.237
14.600	+8.599e+03	+2.911e+03	+1.031e+04	+0.253
14.700	+7.330e+03	+3.541e+03	+1.103e+04	+0.326
14.800	+7.109e+03	+2.506e+03	+9.767e+03	+0.261
14.900	+8.004e+03	+1.215e+03	+1.112e+04	+0.132
15.000	+7.856e+03	+1.266e+03	+1.026e+04	+0.139
15.100	+6.579e+03	+2.397e+03	+8.701e+03	+0.267
15.200	+6.628e+03	+2.795e+03	+1.015e+04	+0.297
15.300	+6.453e+03	+1.793e+03	+8.964e+03	+0.217
15.400	+7.534e+03	+2.989e+03	+9.410e+03	+0.284
15.500	+6.000e+03	+3.422e+03	+1.120e+04	+0.363
15.600	+7.993e+03	+2.594e+03	+1.022e+04	+0.245
15.700	+7.719e+03	+2.898e+03	+1.067e+04	+0.273
15.800	+7.700e+03	+1.456e+03	+9.801e+03	+0.159
15.900	+7.404e+03	+3.330e+03	+1.098e+04	+0.310
16.000	+7.663e+03	+2.985e+03	+1.043e+04	+0.280
16.100	+7.189e+03	+3.245e+03	+9.269e+03	+0.311
16.200	+7.053e+03	+3.909e+03	+8.813e+03	+0.357
16.300	+7.620e+03	+1.952e+03	+1.045e+04	+0.204
16.400	+7.292e+03	+2.661e+03	+1.008e+04	+0.267
16.500	+7.759e+03	+2.521e+03	+9.864e+03	+0.245
16.600	+7.141e+03	+2.986e+03	+1.032e+04	+0.295
16.700	+7.664e+03	+2.809e+03	+1.053e+04	+0.268
16.800	+7.571e+03	+3.060e+03	+1.028e+04	+0.288
16.900	+7.714e+03	+2.123e+03	+9.812e+03	+0.216
17.000	+8.350e+03	+2.014e+03	+8.654e+03	+0.194
17.100	+7.637e+03	+2.669e+03	+1.052e+04	+0.259
17.200	+7.591e+03	+3.015e+03	+9.213e+03	+0.284
17.300	+7.290e+03	+1.688e+03	+9.133e+03	+0.188
17.400	+6.900e+03	+2.459e+03	+1.072e+04	+0.263
17.500	+6.848e+03	+2.930e+03	+8.794e+03	+0.300
17.600	+7.879e+03	+9.983e+02	+9.785e+03	+0.112
17.700	+8.046e+03	+2.305e+03	+9.917e+03	+0.223
