%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+7.695e-01
1	1	+7.695e-01	+2.886e+01
2	2	+2.963e+01	+3.300e+00
3	3	+3.293e+01	+3.594e+00
2	2	+3.652e+01	+5.668e-01
3	3	+3.709e+01	+2.324e-01
2	2	+3.732e+01	+2.135e+00
1	1	+3.945e+01	+2.870e-01
2	2	+3.974e+01	+1.996e+00
3	3	+4.174e+01	+6.942e-01
2	2	+4.243e+01	+3.270e+00
1	1	+4.570e+01	+3.211e+00
2	2	+4.891e+01	+5.637e+00
3	3	+5.455e+01	+9.086e+00
2	2	+6.363e+01	+6.264e+00
3	3	+6.990e+01	+1.382e+00
2	2	+7.128e+01	+2.287e+00
3	3	+7.357e+01	+7.654e-02
2	2	+7.364e+01	+6.332e-01
3	3	+7.428e+01	+6.140e-01
2	2	+7.489e+01	+1.567e+00
3	3	+7.646e+01	+3.659e+00
2	2	+8.012e+01	+1.235e+00
3	3	+8.135e+01	+3.563e+00
2	2	+8.491e+01	+3.050e+00
1	1	+8.796e+01	+1.666e+01
2	2	+1.046e+02	+1.798e-01
3	3	+1.048e+02	+1.524e+00
2	2	+1.063e+02	+1.299e+00
3	3	+1.076e+02	+3.001e-01
2	2	+1.079e+02	+2.080e+00
3	3	+1.100e+02	+4.569e+00
2	2	+1.146e+02	+2.973e+00
3	3	+1.175e+02	+2.234e+00
2	2	+1.198e+02	+1.147e+00
1	1	+1.209e+02	+1.241e+01
2	2	+1.333e+02	+3.372e+00
3	3	+1.367e+02	+3.098e-01
2	2	+1.370e+02	+8.225e-01
3	3	+1.378e+02	+2.310e-01
2	2	+1.381e+02	+3.321e+00
1	1	+1.414e+02	+4.707e+01
2	2	+1.885e+02	+1.602e+00
3	3	+1.901e+02	+1.481e-01
2	2	+1.902e+02	+1.568e+00
3	3	+1.918e+02	+5.845e-01
2	2	+1.924e+02	+1.629e-01
3	3	+1.925e+02	+9.562e-01
2	2	+1.935e+02	+2.747e-01
3	3	+1.938e+02	+1.260e-02
2	2	+1.938e+02	+7.478e-02
3	3	+1.939e+02	+4.349e-01
2	2	+1.943e+02	+2.470e+00
3	3	+1.968e+02	+3.245e+00
0	0	+2.000e+02	+Inf
