%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+5.951e+03	+1.248e+03	+7.727e+03	+0.173
0.200	+2.798e+03	+4.346e+02	+6.835e+03	+0.134
0.400	+6.823e+03	+1.710e+03	+7.218e+03	+0.200
0.600	+6.470e+03	+1.198e+03	+5.762e+03	+0.156
0.800	+7.142e+03	+1.741e+03	+7.365e+03	+0.196
1.000	+4.483e+03	+3.083e+03	+9.511e+03	+0.407
1.200	+6.079e+03	+2.678e+03	+7.696e+03	+0.306
1.400	+6.169e+03	+1.762e+03	+7.777e+03	+0.222
1.600	+2.954e+03	+2.216e+03	+8.052e+03	+0.429
1.800	+3.929e+03	+2.479e+03	+7.948e+03	+0.387
2.000	+5.972e+03	+3.016e+03	+7.464e+03	+0.336
2.200	+4.464e+03	+2.373e+03	+9.559e+03	+0.347
2.400	+4.597e+03	+2.996e+03	+7.334e+03	+0.395
2.600	+7.592e+03	+3.139e+03	+6.992e+03	+0.293
2.800	+6.903e+03	+8.339e+02	+6.587e+03	+0.108
3.000	+6.371e+03	+3.410e+03	+5.966e+03	+0.349
3.200	+6.029e+03	+2.841e+03	+6.082e+03	+0.320
3.400	+8.527e+03	+1.938e+03	+8.035e+03	+0.185
3.600	+6.662e+03	+3.073e+03	+7.778e+03	+0.316
3.800	+4.477e+03	+3.290e+03	+7.601e+03	+0.424
4.000	+4.052e+03	+2.641e+03	+6.248e+03	+0.395
4.200	+6.255e+03	+2.386e+03	+8.040e+03	+0.276
4.400	+5.089e+03	+1.991e+03	+8.631e+03	+0.281
4.600	+3.518e+03	+2.314e+03	+7.832e+03	+0.397
4.800	+6.664e+03	+2.716e+03	+7.804e+03	+0.290
5.000	+5.388e+03	+2.321e+03	+7.564e+03	+0.301
5.200	+6.680e+03	+3.600e+03	+7.522e+03	+0.350
5.400	+7.086e+03	+1.388e+03	+9.324e+03	+0.164
5.600	+5.731e+03	+1.890e+03	+7.960e+03	+0.248
5.800	+3.842e+03	+3.803e+03	+7.348e+03	+0.497
6.000	+8.288e+03	+2.550e+03	+7.494e+03	+0.235
6.200	+7.140e+03	+2.089e+03	+6.966e+03	+0.226
6.400	+5.420e+03	+2.771e+03	+9.009e+03	+0.338
6.600	+5.805e+03	+3.154e+03	+7.308e+03	+0.352
6.800	+6.331e+03	+2.140e+03	+6.900e+03	+0.253
7.000	+6.666e+03	+2.463e+03	+8.165e+03	+0.270
7.200	+6.942e+03	+3.400e+03	+7.849e+03	+0.329
7.400	+6.457e+03	+3.133e+03	+7.619e+03	+0.327
7.600	+6.403e+03	+1.022e+03	+8.655e+03	+0.138
7.800	+4.257e+03	+2.273e+03	+9.639e+03	+0.348
8.000	+7.802e+03	+1.206e+03	+8.628e+03	+0.134
8.200	+6.185e+03	+1.678e+03	+6.554e+03	+0.213
8.400	+6.222e+03	+2.708e+03	+8.151e+03	+0.303
8.600	+5.974e+03	+2.261e+03	+7.415e+03	+0.275
8.800	+3.708e+03	+5.871e+02	+8.547e+03	+0.137
9.000	+4.984e+03	+1.747e+03	+6.962e+03	+0.260
9.200	+4.473e+03	+2.983e+03	+6.549e+03	+0.400
9.400	+6.800e+03	+1.524e+03	+7.276e+03	+0.183
9.600	+4.636e+03	+2.507e+03	+8.677e+03	+0.351
9.800	+6.905e+03	+2.720e+03	+6.134e+03	+0.283
10.000	+5.822e+03	+2.522e+03	+7.498e+03	+0.302
10.200	+4.314e+03	+3.433e+03	+6.934e+03	+0.443
10.400	+6.641e+03	+1.512e+03	+8.262e+03	+0.185
10.600	+5.478e+03	+3.316e+03	+7.199e+03	+0.377
10.800	+5.895e+03	+2.222e+03	+8.852e+03	+0.274
11.000	+4.639e+03	+2.423e+03	+9.272e+03	+0.343
11.200	+3.854e+03	+1.904e+03	+7.275e+03	+0.331
11.400	+5.633e+03	+1.936e+03	+8.303e+03	+0.256
11.600	+4.931e+03	+1.780e+03	+8.793e+03	+0.265
11.800	+4.096e+03	+2.988e+03	+9.286e+03	+0.422
12.000	+6.407e+03	+1.195e+03	+8.842e+03	+0.157
12.200	+4.678e+03	+2.599e+03	+8.629e+03	+0.357
12.400	+5.679e+03	+2.928e+03	+8.120e+03	+0.340
12.600	+6.921e+03	+2.422e+03	+8.143e+03	+0.259
