%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+2.328e+01
2	1	+2.328e+01	+1.174e+00
3	2	+2.446e+01	+9.648e-01
2	1	+2.542e+01	+4.344e-01
3	2	+2.586e+01	+1.543e-01
2	1	+2.601e+01	+6.074e-01
3	2	+2.662e+01	+1.696e+00
2	1	+2.831e+01	+3.710e+00
3	2	+3.202e+01	+2.584e-01
2	1	+3.228e+01	+4.913e+00
3	2	+3.720e+01	+2.300e+00
2	1	+3.950e+01	+1.817e+00
3	2	+4.131e+01	+2.671e-02
2	1	+4.134e+01	+4.101e+00
3	2	+4.544e+01	+7.237e-01
2	1	+4.616e+01	+3.611e-01
1	1	+4.652e+01	+8.670e+00
2	1	+5.519e+01	+7.911e+00
1	1	+6.311e+01	+1.810e+00
2	1	+6.492e+01	+5.357e-01
3	2	+6.545e+01	+6.364e-01
2	1	+6.609e+01	+3.551e+00
3	2	+6.964e+01	+7.089e-01
2	1	+7.035e+01	+2.971e-01
1	1	+7.064e+01	+5.428e+00
4	2	+7.607e+01	+1.234e+00
1	1	+7.731e+01	+1.406e+01
0	0	+9.137e+01	+Inf
