%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+5.620e+03	+1.263e+03	+7.634e+03	+0.183
0.200	+5.204e+03	+2.518e+03	+5.945e+03	+0.326
0.400	+5.144e+03	+1.888e+03	+6.466e+03	+0.268
0.600	+5.476e+03	+2.533e+03	+6.567e+03	+0.316
0.800	+4.590e+03	+2.124e+03	+6.057e+03	+0.316
1.000	+4.181e+03	+3.625e+03	+7.310e+03	+0.464
1.200	+5.541e+03	+1.941e+03	+6.482e+03	+0.259
1.400	+4.187e+03	+1.017e+03	+6.514e+03	+0.195
1.600	+4.126e+03	+2.825e+03	+7.977e+03	+0.406
1.800	+4.236e+03	+2.280e+03	+6.815e+03	+0.350
2.000	+6.421e+03	+2.276e+03	+8.815e+03	+0.262
2.200	+4.623e+03	+2.380e+03	+7.128e+03	+0.340
2.400	+2.839e+03	+2.195e+03	+7.141e+03	+0.436
2.600	+4.843e+03	+2.778e+03	+6.992e+03	+0.364
2.800	+6.392e+03	+2.221e+03	+7.691e+03	+0.258
3.000	+5.149e+03	+3.197e+03	+5.666e+03	+0.383
3.200	+2.897e+03	+1.877e+03	+6.799e+03	+0.393
3.400	+6.144e+03	+2.195e+03	+8.079e+03	+0.263
3.600	+4.516e+03	+6.974e+02	+7.847e+03	+0.134
3.800	+4.156e+03	+1.671e+03	+7.083e+03	+0.287
4.000	+3.634e+03	+1.420e+03	+8.495e+03	+0.281
4.200	+5.090e+03	+2.862e+03	+7.938e+03	+0.360
4.400	+4.593e+03	+1.069e+03	+5.823e+03	+0.189
4.600	+4.936e+03	+1.916e+03	+6.883e+03	+0.280
4.800	+4.807e+03	+1.852e+03	+7.420e+03	+0.278
5.000	+4.218e+03	+2.825e+03	+5.081e+03	+0.401
5.200	+4.200e+03	+2.598e+03	+6.567e+03	+0.382
5.400	+3.636e+03	+1.602e+03	+5.986e+03	+0.306
5.600	+4.811e+03	+2.365e+03	+7.139e+03	+0.330
5.800	+4.777e+03	+1.666e+03	+7.930e+03	+0.259
6.000	+3.924e+03	+2.163e+03	+5.758e+03	+0.355
6.200	+4.700e+03	+2.534e+03	+7.427e+03	+0.350
6.400	+6.578e+03	+2.741e+03	+7.078e+03	+0.294
6.600	+5.189e+03	+2.151e+03	+5.236e+03	+0.293
6.800	+4.552e+03	+2.097e+03	+5.629e+03	+0.315
7.000	+6.002e+03	+2.216e+03	+7.172e+03	+0.270
7.200	+3.171e+03	+1.789e+03	+7.074e+03	+0.361
7.400	+4.353e+03	+1.810e+03	+6.433e+03	+0.294
7.600	+4.616e+03	+2.952e+03	+7.350e+03	+0.390
7.800	+5.102e+03	+1.602e+03	+6.931e+03	+0.239
8.000	+4.807e+03	+2.286e+03	+5.561e+03	+0.322
8.200	+1.669e+03	+4.729e+03	+6.416e+03	+0.739
8.400	+1.811e+03	+4.462e+03	+7.328e+03	+0.711
8.600	+9.725e+02	+4.825e+03	+7.341e+03	+0.832
8.800	+1.855e+03	+3.927e+03	+6.463e+03	+0.679
9.000	+1.604e+03	+6.107e+03	+6.372e+03	+0.792
9.200	+1.540e+03	+5.577e+03	+6.159e+03	+0.784
9.400	+1.370e+03	+3.852e+03	+6.993e+03	+0.738
