%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+2.358e+03	+9.619e+03	+1.356e+04	+0.803
0.200	+3.322e+03	+1.017e+04	+1.171e+04	+0.754
0.400	+1.561e+03	+8.492e+03	+1.083e+04	+0.845
0.600	+1.129e+03	+6.749e+03	+1.131e+04	+0.857
0.800	+6.704e+02	+1.021e+04	+1.114e+04	+0.938
1.000	+3.007e+03	+7.465e+03	+1.319e+04	+0.713
1.200	+3.848e+03	+7.249e+03	+1.215e+04	+0.653
1.400	+2.635e+03	+7.390e+03	+1.305e+04	+0.737
1.600	+5.042e+03	+9.187e+03	+1.026e+04	+0.646
1.800	+1.944e+03	+8.716e+03	+1.168e+04	+0.818
2.000	+4.498e+03	+8.797e+03	+1.083e+04	+0.662
2.200	+5.046e+03	+1.030e+04	+1.151e+04	+0.671
2.400	+1.946e+03	+5.346e+03	+1.239e+04	+0.733
2.600	+1.575e+03	+9.530e+03	+1.069e+04	+0.858
2.800	-4.115e+02	+1.190e+04	+1.245e+04	+1.036
3.000	+4.497e+03	+8.909e+03	+1.345e+04	+0.665
3.200	+2.664e+03	+8.672e+03	+1.091e+04	+0.765
3.400	+2.212e+03	+9.690e+03	+1.231e+04	+0.814
3.600	+2.201e+03	+9.439e+03	+1.255e+04	+0.811
3.800	+2.053e+03	+1.121e+04	+1.202e+04	+0.845
4.000	+2.095e+03	+1.182e+04	+1.187e+04	+0.849
4.200	+4.809e+03	+7.386e+03	+9.369e+03	+0.606
4.400	+1.749e+03	+1.094e+04	+9.866e+03	+0.862
4.600	+1.632e+03	+1.131e+04	+1.085e+04	+0.874
4.800	+3.212e+03	+8.110e+03	+7.990e+03	+0.716
5.000	+5.224e+03	+9.595e+03	+1.183e+04	+0.647
5.200	+3.374e+03	+8.102e+03	+1.471e+04	+0.706
5.400	+2.898e+03	+1.184e+04	+1.138e+04	+0.803
5.600	+2.981e+03	+9.928e+03	+9.493e+03	+0.769
5.800	+2.156e+03	+7.115e+03	+1.339e+04	+0.767
6.000	+3.724e+03	+8.717e+03	+1.332e+04	+0.701
6.200	+2.484e+03	+1.136e+04	+1.262e+04	+0.821
6.400	+1.037e+03	+9.415e+03	+1.403e+04	+0.901
6.600	+1.465e+03	+9.155e+03	+1.226e+04	+0.862
6.800	+4.210e+03	+9.227e+03	+1.152e+04	+0.687
7.000	+1.414e+03	+7.459e+03	+1.478e+04	+0.841
7.200	+3.155e+03	+8.276e+03	+8.079e+03	+0.724
7.400	+2.188e+03	+1.149e+04	+1.030e+04	+0.840
7.600	+7.143e+03	+4.499e+03	+1.099e+04	+0.386
7.800	+1.047e+04	+1.910e+03	+1.317e+04	+0.154
8.000	+8.747e+03	+1.723e+03	+1.033e+04	+0.165
8.200	+5.064e+03	+4.139e+03	+1.190e+04	+0.450
8.400	+9.391e+03	+4.208e+03	+1.270e+04	+0.309
8.600	+1.050e+04	+4.116e+03	+1.099e+04	+0.282
8.800	+8.987e+03	+5.672e+03	+1.152e+04	+0.387
9.000	+1.060e+04	+4.428e+03	+1.216e+04	+0.295
9.200	+4.326e+03	+4.967e+03	+1.239e+04	+0.535
9.400	+4.304e+03	+7.327e+03	+1.463e+04	+0.630
9.600	+8.864e+03	+3.540e+03	+1.108e+04	+0.285
9.800	+6.513e+03	+2.485e+03	+1.178e+04	+0.276
10.000	+7.512e+03	+4.398e+03	+1.238e+04	+0.369
10.200	+5.580e+03	+3.783e+03	+1.391e+04	+0.404
10.400	+7.432e+03	+3.023e+03	+9.238e+03	+0.289
10.600	+8.549e+03	+6.641e+03	+1.369e+04	+0.437
10.800	+3.489e+03	+9.894e+03	+1.077e+04	+0.739
11.000	+4.818e+03	+4.627e+03	+1.450e+04	+0.490
11.200	+6.144e+03	+4.045e+03	+9.740e+03	+0.397
11.400	+1.042e+04	+2.908e+03	+1.061e+04	+0.218
11.600	+1.014e+04	+4.077e+03	+1.488e+04	+0.287
11.800	+9.872e+03	+5.290e+03	+1.103e+04	+0.349
12.000	+8.321e+03	+2.948e+03	+1.048e+04	+0.262
12.200	+8.577e+03	+1.591e+03	+1.244e+04	+0.156
12.400	+6.250e+03	+3.389e+03	+1.457e+04	+0.352
12.600	+8.675e+03	+3.150e+03	+1.390e+04	+0.266
12.800	+6.260e+03	+3.190e+03	+1.074e+04	+0.338
13.000	+7.772e+03	+4.582e+03	+9.979e+03	+0.371
13.200	+1.032e+04	+2.962e+03	+8.067e+03	+0.223
13.400	+4.285e+03	+1.277e+04	+8.951e+03	+0.749
13.600	+2.869e+03	+9.277e+03	+9.978e+03	+0.764
13.800	+4.420e+03	+9.834e+03	+1.274e+04	+0.690
14.000	+1.762e+03	+7.181e+03	+1.108e+04	+0.803
14.200	+9.142e+03	+4.221e+03	+1.163e+04	+0.316
14.400	+7.485e+03	+3.305e+03	+1.344e+04	+0.306
