%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.046e+03	+2.427e+03	+6.819e+03	+0.286
0.200	+6.059e+03	+2.941e+03	+6.247e+03	+0.327
0.400	+4.721e+03	+1.383e+03	+6.527e+03	+0.227
0.600	+3.515e+03	+1.900e+03	+5.969e+03	+0.351
0.800	+6.690e+03	+2.600e+03	+7.271e+03	+0.280
1.000	+6.065e+03	+4.266e+03	+5.380e+03	+0.413
1.200	+4.559e+03	+3.413e+03	+7.342e+03	+0.428
1.400	+5.857e+03	+2.215e+03	+7.177e+03	+0.274
1.600	+4.951e+03	+2.361e+03	+4.871e+03	+0.323
1.800	+3.770e+03	+2.129e+03	+8.374e+03	+0.361
2.000	+4.023e+03	+2.666e+03	+7.263e+03	+0.399
2.200	+3.940e+03	+1.968e+03	+7.169e+03	+0.333
2.400	+6.875e+03	+1.966e+03	+8.508e+03	+0.222
2.600	+4.502e+03	+3.535e+03	+8.653e+03	+0.440
2.800	+7.701e+03	+2.777e+03	+6.129e+03	+0.265
3.000	+3.942e+03	+2.845e+03	+7.177e+03	+0.419
3.200	+5.378e+03	+2.225e+03	+6.713e+03	+0.293
3.400	+5.925e+03	+1.640e+03	+6.719e+03	+0.217
3.600	+4.228e+03	+3.576e+03	+8.072e+03	+0.458
3.800	+4.919e+03	+2.596e+03	+9.454e+03	+0.345
4.000	+6.110e+03	+2.399e+03	+6.969e+03	+0.282
4.200	+4.721e+03	+1.741e+03	+5.957e+03	+0.269
4.400	+6.150e+03	+9.751e+01	+6.461e+03	+0.016
4.600	+4.126e+03	+2.357e+03	+9.610e+03	+0.364
4.800	+6.268e+03	+1.761e+03	+8.104e+03	+0.219
5.000	+3.969e+03	+2.264e+03	+7.474e+03	+0.363
5.200	+6.159e+03	+2.208e+03	+7.068e+03	+0.264
5.400	+3.409e+03	+2.033e+03	+7.504e+03	+0.374
5.600	+3.549e+03	+8.078e+02	+7.386e+03	+0.185
5.800	+6.098e+03	+2.543e+03	+6.813e+03	+0.294
6.000	+7.434e+03	+9.285e+02	+5.989e+03	+0.111
6.200	+3.892e+03	+1.695e+03	+6.729e+03	+0.303
6.400	+5.234e+03	+2.761e+03	+8.302e+03	+0.345
6.600	+4.401e+03	+2.146e+03	+6.495e+03	+0.328
