%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.927e+03	+2.344e+03	+7.861e+03	+0.253
0.200	+7.291e+03	+3.352e+03	+1.025e+04	+0.315
0.400	+7.372e+03	+3.020e+03	+8.088e+03	+0.291
0.600	+6.783e+03	+4.572e+03	+1.004e+04	+0.403
0.800	+4.639e+03	+2.722e+03	+7.539e+03	+0.370
1.000	+6.315e+03	+3.672e+03	+8.988e+03	+0.368
1.200	+4.044e+03	+2.455e+03	+1.057e+04	+0.378
1.400	+6.665e+03	+2.850e+03	+1.026e+04	+0.300
1.600	+4.095e+03	+3.860e+03	+8.671e+03	+0.485
1.800	+6.430e+03	+3.560e+03	+8.876e+03	+0.356
2.000	+6.971e+03	+3.292e+03	+7.614e+03	+0.321
2.200	+5.319e+03	+3.422e+03	+9.512e+03	+0.391
2.400	+6.647e+03	+3.911e+03	+1.118e+04	+0.370
2.600	+9.127e+03	+7.909e+02	+1.010e+04	+0.080
2.800	+6.473e+03	+1.227e+03	+1.001e+04	+0.159
3.000	+6.292e+03	+2.148e+03	+1.137e+04	+0.254
3.200	+4.855e+03	+4.939e+03	+1.112e+04	+0.504
3.400	+4.660e+03	+2.908e+03	+1.108e+04	+0.384
3.600	+6.005e+03	+3.824e+03	+1.166e+04	+0.389
3.800	+7.049e+03	+2.259e+03	+1.137e+04	+0.243
4.000	+8.158e+03	+2.806e+03	+1.022e+04	+0.256
4.200	+1.036e+04	+4.075e+03	+1.171e+04	+0.282
4.400	+8.812e+03	+4.277e+03	+1.085e+04	+0.327
4.600	+8.447e+03	+3.145e+03	+8.940e+03	+0.271
4.800	+4.120e+03	+6.437e+03	+1.062e+04	+0.610
5.000	+5.984e+03	+2.150e+03	+1.049e+04	+0.264
5.200	+7.443e+03	+2.516e+03	+1.022e+04	+0.253
5.400	+5.681e+03	+3.160e+03	+1.142e+04	+0.357
5.600	+7.074e+03	+4.078e+03	+1.080e+04	+0.366
5.800	+6.052e+03	+2.673e+03	+1.158e+04	+0.306
6.000	+7.523e+03	+2.643e+03	+9.609e+03	+0.260
6.200	+7.731e+03	+4.303e+03	+1.105e+04	+0.358
6.400	+5.945e+03	+2.247e+03	+1.118e+04	+0.274
6.600	+7.238e+03	+2.181e+03	+9.708e+03	+0.232
6.800	+9.581e+03	+3.397e+03	+9.978e+03	+0.262
7.000	+7.181e+03	+2.100e+03	+1.010e+04	+0.226
7.200	+7.334e+03	+1.784e+03	+1.269e+04	+0.196
7.400	+8.257e+03	+3.443e+03	+1.133e+04	+0.294
7.600	+7.137e+03	+2.067e+03	+9.711e+03	+0.225
7.800	+9.150e+03	+2.516e+03	+1.094e+04	+0.216
