%state	deg. state	t_start (s)	t_dwell (s)
4	2	+0.000e+00	+6.614e+00
3	2	+6.614e+00	+1.088e+00
2	1	+7.702e+00	+1.585e+00
3	2	+9.286e+00	+2.551e-01
2	1	+9.542e+00	+7.097e-01
1	1	+1.025e+01	+3.582e-01
2	1	+1.061e+01	+2.468e-01
3	2	+1.086e+01	+1.911e-01
2	1	+1.105e+01	+2.355e+00
3	2	+1.340e+01	+8.037e-01
2	1	+1.421e+01	+1.097e+00
3	2	+1.530e+01	+1.419e+00
2	1	+1.672e+01	+2.453e+00
3	2	+1.918e+01	+8.422e-01
2	1	+2.002e+01	+2.781e+00
3	2	+2.280e+01	+5.107e-01
2	1	+2.331e+01	+1.482e+00
3	2	+2.479e+01	+2.133e+00
0	0	+2.692e+01	+Inf
