0.005,7
0.015,19
0.025,16
0.035,22
0.045,26
0.055,42
0.065,52
0.075,53
0.085,70
0.095,75
0.105,120
0.115,131
0.125,176
0.135,223
0.145,240
0.155,317
0.165,370
0.175,447
0.185,523
0.195,594
0.205,712
0.215,795
0.225,907
0.235,996
0.245,1067
0.255,1206
0.265,1326
0.275,1367
0.285,1372
0.295,1456
0.305,1395
0.315,1383
0.325,1428
0.335,1398
0.345,1246
0.355,1099
0.365,1045
0.375,1031
0.385,821
0.395,732
0.405,615
0.415,538
0.425,442
0.435,384
0.445,308
0.455,236
0.465,229
0.475,161
0.485,159
0.495,129
0.505,83
0.515,95
0.525,77
0.535,66
0.545,76
0.555,74
0.565,68
0.575,82
0.585,109
0.595,129
0.605,124
0.615,168
0.625,193
0.635,223
0.645,280
0.655,335
0.665,362
0.675,384
0.685,476
0.695,520
0.705,531
0.715,592
0.725,614
0.735,623
0.745,622
0.755,596
0.765,595
0.775,580
0.785,541
0.795,533
0.805,475
0.815,421
0.825,371
0.835,359
0.845,292
0.855,263
0.865,221
0.875,209
0.885,189
0.895,145
0.905,115
0.915,106
0.925,83
0.935,63
0.945,55
0.955,46
0.965,35
0.975,26
0.985,25
0.995,23
