0.1,-0.16217,0.0018674
0.2,-0.15431,0.0018568
0.3,-0.14687,0.0018656
0.4,-0.13986,0.0018448
0.5,-0.13319,0.0017972
0.6,-0.12709,0.0017751
0.7,-0.12117,0.0017837
0.8,-0.11556,0.0017666
0.9,-0.11025,0.0017587
1,-0.10519,0.0017678
1.1,-0.10036,0.001742
1.2,-0.095798,0.0017723
1.3,-0.091374,0.0018043
1.4,-0.08725,0.0018118
1.5,-0.083498,0.001844
1.6,-0.07987,0.0018754
1.7,-0.076568,0.0018832
1.8,-0.073328,0.0018763
1.9,-0.070009,0.0019155
2,-0.06704,0.0019471
2.1,-0.064362,0.0019533
2.2,-0.061549,0.0019489
2.4,-0.056767,0.0019695
2.6,-0.052507,0.0019346
2.8,-0.048729,0.0019151
3,-0.045237,0.001918
3.2,-0.04212,0.0019618
3.4,-0.038846,0.0019695
3.6,-0.035737,0.001992
3.8,-0.032945,0.0020072
4,-0.030317,0.0020303
4.4,-0.025876,0.0019899
4.8,-0.022245,0.0019318
5.2,-0.018938,0.0019921
5.6,-0.016079,0.0021535
6,-0.014099,0.0023931
6.4,-0.012616,0.0026255
6.8,-0.011024,0.0027878
7.2,-0.0095268,0.0028824
7.6,-0.0083725,0.0028598
8,-0.0074951,0.0027939
8.8,-0.0063495,0.0025497
9.6,-0.0053574,0.0023174
10.4,-0.003595,0.0022373
11.2,-0.0019849,0.0021688
12,-0.00055802,0.0018629
12.8,0.00060398,0.0018591
13.6,0.001261,0.0019881
14.4,0.0012652,0.0022592
15.2,0.0017655,0.0024406
16,0.0011139,0.0026401
17.6,0.0011754,0.0027476
19.2,0.00056319,0.0024336
20.8,-0.00079236,0.0021761
22.4,0.00044356,0.0021129
24,0.0023467,0.0023518
25.6,0.0031291,0.0023562
27.2,0.0027107,0.0026052
28.8,0.0026968,0.0028758
30.4,0.002839,0.0027894
32,0.0014648,0.0029233
35.2,-3.1378e-05,0.0024972
38.4,-0.0017796,0.0023938
41.6,-0.002671,0.0024311
44.8,-0.0037625,0.0032298
48,-0.0023442,0.0025147
51.2,0.00014381,0.0035303
54.4,0.00016873,0.0036117
57.6,-0.00024689,0.0033251
60.8,-0.0027885,0.0020609
64,-0.0043401,0.002506
70.4,0.0022985,0.003798
76.8,0.00064986,0.0029576
83.2,-0.0031442,0.0027781
89.6,-0.0014429,0.0028423
96,-0.0040707,0.003331
102.4,-0.0012896,0.0028583
108.8,-0.00019123,0.0028927
115.2,0.0015454,0.0031749
121.6,0.003897,0.0049398
128,0.0092878,0.0040977
140.8,0.00045989,0.0032174
153.6,0.00051885,0.0044042
166.4,-0.0031113,0.0031672
179.2,-0.0030539,0.0028543
192,0.0011004,0.0052405
204.8,0.0066292,0.0078817
217.6,0.00044901,0.0053026
230.4,0.010559,0.0065385
243.2,-0.006774,0.0024465
