0.005,2
0.015,5
0.025,6
0.035,6
0.045,9
0.055,23
0.065,19
0.075,21
0.085,41
0.095,66
0.105,93
0.115,135
0.125,155
0.135,244
0.145,299
0.155,386
0.165,490
0.175,643
0.185,845
0.195,976
0.205,1200
0.215,1392
0.225,1522
0.235,1652
0.245,1664
0.255,1730
0.265,1750
0.275,1635
0.285,1499
0.295,1298
0.305,1099
0.315,937
0.325,760
0.335,530
0.345,446
0.355,369
0.365,347
0.375,340
0.385,352
0.395,524
0.405,704
0.415,967
0.425,1321
0.435,1650
0.445,2168
0.455,2616
0.465,3094
0.475,3554
0.485,3823
0.495,3972
0.505,4051
0.515,3787
0.525,3531
0.535,3177
0.545,2733
0.555,2242
0.565,1724
0.575,1380
0.585,1069
0.595,793
0.605,596
0.615,458
0.625,332
0.635,266
0.645,225
0.655,198
0.665,264
0.675,365
0.685,450
0.695,582
0.705,751
0.715,1056
0.725,1291
0.735,1615
0.745,2027
0.755,2301
0.765,2545
0.775,2782
0.785,2818
0.795,2933
0.805,2761
0.815,2789
0.825,2472
0.835,2237
0.845,1977
0.855,1674
0.865,1451
0.875,1164
0.885,960
0.895,740
0.905,600
0.915,462
0.925,350
0.935,237
0.945,191
0.955,145
0.965,106
0.975,62
0.985,57
0.995,53
