%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+1.847e+00
1	1	+1.847e+00	+8.162e-01
2	2	+2.663e+00	+3.313e+00
1	1	+5.976e+00	+2.173e-01
2	2	+6.193e+00	+2.883e-02
1	1	+6.222e+00	+1.283e+00
2	2	+7.505e+00	+1.086e+00
1	1	+8.591e+00	+6.608e-01
2	2	+9.252e+00	+1.050e-01
1	1	+9.357e+00	+5.847e-01
2	2	+9.942e+00	+2.095e+00
1	1	+1.204e+01	+3.026e-01
2	2	+1.234e+01	+4.295e+00
1	1	+1.663e+01	+2.397e-02
2	2	+1.666e+01	+6.989e+00
1	1	+2.365e+01	+1.964e-01
2	2	+2.384e+01	+1.109e+00
1	1	+2.495e+01	+1.613e+00
2	2	+2.657e+01	+2.378e-02
1	1	+2.659e+01	+1.410e-01
2	2	+2.673e+01	+3.599e-01
1	1	+2.709e+01	+5.460e-01
2	2	+2.764e+01	+1.798e+00
1	1	+2.943e+01	+6.340e-01
2	2	+3.007e+01	+4.573e-01
1	1	+3.053e+01	+9.029e-02
2	2	+3.062e+01	+3.549e-01
1	1	+3.097e+01	+6.109e-01
2	2	+3.158e+01	+1.525e+00
1	1	+3.311e+01	+1.127e-02
2	2	+3.312e+01	+7.868e-01
1	1	+3.391e+01	+7.462e-01
2	2	+3.465e+01	+1.163e+00
1	1	+3.581e+01	+1.141e+00
2	2	+3.696e+01	+3.606e+00
1	1	+4.056e+01	+5.028e-01
2	2	+4.106e+01	+2.649e-01
1	1	+4.133e+01	+5.867e-02
2	2	+4.139e+01	+1.009e+00
1	1	+4.240e+01	+1.244e+00
2	2	+4.364e+01	+2.713e+00
0	0	+4.635e+01	+Inf
