%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+1.999e+00
1	1	+1.999e+00	+3.547e-01
2	2	+2.354e+00	+2.174e-01
1	1	+2.571e+00	+4.543e-01
2	2	+3.025e+00	+6.359e-01
1	1	+3.661e+00	+1.408e-02
2	2	+3.675e+00	+1.311e+00
1	1	+4.986e+00	+2.133e+00
2	2	+7.119e+00	+1.410e+00
1	1	+8.530e+00	+1.261e+00
2	2	+9.791e+00	+8.849e-01
1	1	+1.068e+01	+1.248e+00
2	2	+1.192e+01	+2.102e+00
1	1	+1.403e+01	+1.408e+00
2	2	+1.543e+01	+3.238e-01
1	1	+1.576e+01	+2.185e+00
2	2	+1.794e+01	+8.188e-01
1	1	+1.876e+01	+2.969e+00
2	2	+2.173e+01	+2.316e+00
1	1	+2.405e+01	+4.477e-01
2	2	+2.449e+01	+7.321e-01
1	1	+2.523e+01	+4.111e-01
2	2	+2.564e+01	+1.956e-01
1	1	+2.583e+01	+5.607e-01
2	2	+2.639e+01	+5.028e+00
1	1	+3.142e+01	+3.218e+00
2	2	+3.464e+01	+1.738e+00
1	1	+3.638e+01	+4.059e-01
2	2	+3.678e+01	+1.822e+00
1	1	+3.861e+01	+3.226e-01
2	2	+3.893e+01	+9.690e-01
1	1	+3.990e+01	+8.424e-01
2	2	+4.074e+01	+1.620e+00
1	1	+4.236e+01	+1.671e-01
2	2	+4.253e+01	+2.034e-01
1	1	+4.273e+01	+3.136e-01
2	2	+4.304e+01	+2.001e+00
1	1	+4.504e+01	+6.279e-01
2	2	+4.567e+01	+1.018e+00
1	1	+4.669e+01	+2.966e+00
2	2	+4.966e+01	+4.576e+00
1	1	+5.423e+01	+1.353e-01
2	2	+5.437e+01	+1.605e+00
1	1	+5.597e+01	+6.714e-01
2	2	+5.664e+01	+2.767e+00
1	1	+5.941e+01	+1.227e+00
2	2	+6.064e+01	+5.427e-01
1	1	+6.118e+01	+2.435e+00
2	2	+6.361e+01	+3.602e+00
1	1	+6.722e+01	+2.804e-01
2	2	+6.750e+01	+2.916e+00
1	1	+7.041e+01	+4.980e-02
2	2	+7.046e+01	+2.358e+00
1	1	+7.282e+01	+1.131e+00
2	2	+7.395e+01	+4.376e-01
1	1	+7.439e+01	+2.657e+00
2	2	+7.705e+01	+1.256e+00
1	1	+7.830e+01	+2.983e-01
2	2	+7.860e+01	+3.126e+00
1	1	+8.173e+01	+2.534e-01
2	2	+8.198e+01	+1.681e-01
1	1	+8.215e+01	+1.512e+00
2	2	+8.366e+01	+1.382e+00
1	1	+8.504e+01	+1.119e+00
2	2	+8.616e+01	+2.484e-01
1	1	+8.641e+01	+1.192e-02
2	2	+8.642e+01	+3.887e-01
1	1	+8.681e+01	+1.529e+00
2	2	+8.834e+01	+3.988e-01
1	1	+8.874e+01	+4.429e-01
2	2	+8.918e+01	+7.671e-01
1	1	+8.995e+01	+3.780e-01
2	2	+9.033e+01	+8.248e-02
1	1	+9.041e+01	+8.499e-01
2	2	+9.126e+01	+4.416e-01
1	1	+9.170e+01	+3.083e+00
2	2	+9.478e+01	+1.255e+00
1	1	+9.604e+01	+2.446e+00
2	2	+9.848e+01	+1.361e+00
1	1	+9.984e+01	+7.803e-01
2	2	+1.006e+02	+1.984e-01
1	1	+1.008e+02	+3.482e-01
2	2	+1.012e+02	+2.900e+00
1	1	+1.041e+02	+1.996e-01
2	2	+1.043e+02	+6.986e+00
1	1	+1.113e+02	+8.543e-02
2	2	+1.113e+02	+7.042e-02
1	1	+1.114e+02	+2.863e-01
2	2	+1.117e+02	+3.815e-01
1	1	+1.121e+02	+7.125e-01
2	2	+1.128e+02	+7.346e-01
1	1	+1.135e+02	+1.014e+00
2	2	+1.145e+02	+1.529e+00
1	1	+1.161e+02	+2.329e-01
2	2	+1.163e+02	+1.136e+00
1	1	+1.174e+02	+1.508e-01
2	2	+1.176e+02	+6.629e-01
1	1	+1.183e+02	+5.717e-01
2	2	+1.188e+02	+9.560e-01
1	1	+1.198e+02	+5.817e-01
2	2	+1.204e+02	+2.336e-01
1	1	+1.206e+02	+6.336e-01
2	2	+1.212e+02	+7.945e+00
1	1	+1.292e+02	+1.136e+00
2	2	+1.303e+02	+2.242e+00
1	1	+1.326e+02	+3.660e-01
2	2	+1.329e+02	+6.073e-01
1	1	+1.335e+02	+5.202e-01
2	2	+1.340e+02	+2.366e+00
1	1	+1.364e+02	+1.551e+00
2	2	+1.380e+02	+3.032e+00
1	1	+1.410e+02	+4.117e-01
2	2	+1.414e+02	+1.200e+00
1	1	+1.426e+02	+7.615e-01
2	2	+1.434e+02	+3.459e+00
1	1	+1.468e+02	+1.933e-02
2	2	+1.468e+02	+2.365e+00
1	1	+1.492e+02	+1.223e+00
2	2	+1.504e+02	+3.609e+00
1	1	+1.540e+02	+6.604e-01
2	2	+1.547e+02	+1.356e-01
1	1	+1.548e+02	+1.876e-01
2	2	+1.550e+02	+2.765e+00
1	1	+1.578e+02	+1.016e+00
2	2	+1.588e+02	+1.662e+00
1	1	+1.605e+02	+6.214e-01
2	2	+1.611e+02	+2.058e+00
1	1	+1.631e+02	+1.831e-01
2	2	+1.633e+02	+8.625e-02
0	0	+1.634e+02	+Inf
