%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+1.278e-01
2	2	+1.278e-01	+4.326e+00
1	1	+4.454e+00	+1.069e+00
2	2	+5.523e+00	+7.142e-01
1	1	+6.238e+00	+1.332e-01
2	2	+6.371e+00	+4.075e-02
1	1	+6.411e+00	+4.978e-01
2	2	+6.909e+00	+1.006e+00
1	1	+7.916e+00	+3.215e-01
2	2	+8.237e+00	+4.244e-01
1	1	+8.662e+00	+3.141e-01
2	2	+8.976e+00	+1.108e+00
1	1	+1.008e+01	+1.761e+00
2	2	+1.184e+01	+6.593e-01
1	1	+1.250e+01	+6.248e-01
2	2	+1.313e+01	+1.792e+00
1	1	+1.492e+01	+1.825e+00
2	2	+1.675e+01	+9.728e-01
1	1	+1.772e+01	+8.782e-01
2	2	+1.860e+01	+1.523e+00
1	1	+2.012e+01	+9.868e-01
2	2	+2.111e+01	+6.828e+00
1	1	+2.793e+01	+2.585e+00
2	2	+3.052e+01	+5.797e+00
1	1	+3.632e+01	+1.940e-01
2	2	+3.651e+01	+1.458e+00
1	1	+3.797e+01	+9.190e-01
2	2	+3.889e+01	+8.642e-01
1	1	+3.975e+01	+1.553e+00
2	2	+4.130e+01	+1.481e+00
1	1	+4.279e+01	+3.745e+00
2	2	+4.653e+01	+8.104e-02
1	1	+4.661e+01	+5.403e-01
2	2	+4.715e+01	+1.773e-01
1	1	+4.733e+01	+5.844e-01
2	2	+4.791e+01	+1.181e-02
1	1	+4.793e+01	+3.217e-01
2	2	+4.825e+01	+1.957e+00
1	1	+5.020e+01	+7.257e-01
2	2	+5.093e+01	+1.916e+00
1	1	+5.285e+01	+1.995e+00
2	2	+5.484e+01	+1.152e+00
1	1	+5.599e+01	+3.633e+00
2	2	+5.963e+01	+1.255e-01
1	1	+5.975e+01	+8.940e-01
2	2	+6.064e+01	+7.324e-01
1	1	+6.138e+01	+3.334e-01
2	2	+6.171e+01	+1.417e-02
1	1	+6.172e+01	+5.362e-01
2	2	+6.226e+01	+1.205e+00
1	1	+6.347e+01	+9.881e-02
2	2	+6.357e+01	+2.335e+00
1	1	+6.590e+01	+7.556e-01
2	2	+6.666e+01	+4.336e+00
1	1	+7.099e+01	+8.160e-01
2	2	+7.181e+01	+1.753e+00
1	1	+7.356e+01	+3.295e+00
2	2	+7.686e+01	+1.086e+00
1	1	+7.794e+01	+6.143e-01
2	2	+7.856e+01	+4.376e-01
1	1	+7.899e+01	+5.512e-01
2	2	+7.954e+01	+1.265e+00
1	1	+8.081e+01	+6.630e-01
2	2	+8.147e+01	+3.522e+00
1	1	+8.499e+01	+5.590e-01
0	0	+8.555e+01	+Inf
