0.005,32
0.015,44
0.025,54
0.035,51
0.045,89
0.055,112
0.065,142
0.075,192
0.085,209
0.095,272
0.105,347
0.115,458
0.125,526
0.135,682
0.145,778
0.155,918
0.165,1063
0.175,1192
0.185,1314
0.195,1458
0.205,1602
0.215,1729
0.225,1793
0.235,1836
0.245,1959
0.255,1874
0.265,1888
0.275,1762
0.285,1601
0.295,1530
0.305,1342
0.315,1182
0.325,1039
0.335,852
0.345,728
0.355,602
0.365,492
0.375,362
0.385,308
0.395,256
0.405,194
0.415,165
0.425,126
0.435,87
0.445,70
0.455,70
0.465,54
0.475,56
0.485,55
0.495,58
0.505,65
0.515,67
0.525,86
0.535,82
0.545,116
0.555,144
0.565,149
0.575,201
0.585,237
0.595,318
0.605,357
0.615,495
0.625,547
0.635,633
0.645,735
0.655,782
0.665,970
0.675,1007
0.685,1171
0.695,1152
0.705,1181
0.715,1217
0.725,1150
0.735,1139
0.745,1160
0.755,1026
0.765,991
0.775,933
0.785,859
0.795,744
0.805,641
0.815,573
0.825,490
0.835,416
0.845,351
0.855,305
0.865,237
0.875,227
0.885,162
0.895,138
0.905,107
0.915,100
0.925,70
0.935,59
0.945,37
0.955,33
0.965,24
0.975,17
0.985,17
0.995,18
