%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+4.552e-01
3	3	+4.552e-01	+1.130e-01
1	1	+5.682e-01	+1.349e-01
3	3	+7.031e-01	+4.994e-01
2	2	+1.203e+00	+4.484e+00
3	3	+5.687e+00	+2.604e+00
1	1	+8.291e+00	+8.034e+00
2	2	+1.632e+01	+1.627e+00
3	3	+1.795e+01	+8.780e-01
2	2	+1.883e+01	+7.840e-01
3	3	+1.961e+01	+3.146e-01
1	1	+1.993e+01	+5.546e+00
2	2	+2.547e+01	+8.036e-01
3	3	+2.628e+01	+9.898e-01
1	1	+2.727e+01	+1.271e+00
3	3	+2.854e+01	+2.978e+00
2	2	+3.152e+01	+7.534e-01
3	3	+3.227e+01	+3.370e-01
1	1	+3.261e+01	+1.947e+00
2	2	+3.455e+01	+1.372e+00
3	3	+3.593e+01	+4.369e+00
1	1	+4.029e+01	+3.349e-01
0	0	+4.063e+01	+Inf
