%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+5.058e+03	+6.415e+03	+9.092e+03	+0.559
0.100	+3.045e+03	+6.478e+03	+1.040e+04	+0.680
0.200	+3.115e+03	+7.597e+03	+8.715e+03	+0.709
0.300	+6.127e+01	+6.551e+03	+9.011e+03	+0.991
0.400	+3.108e+03	+7.692e+03	+9.375e+03	+0.712
0.500	+2.823e+03	+8.688e+03	+8.998e+03	+0.755
0.600	+5.286e+03	+4.848e+03	+1.004e+04	+0.478
0.700	+6.435e+03	+2.618e+03	+1.037e+04	+0.289
0.800	+6.952e+03	+2.015e+03	+8.948e+03	+0.225
0.900	+7.773e+03	+2.757e+03	+1.079e+04	+0.262
1.000	+6.337e+03	+2.397e+03	+9.575e+03	+0.274
1.100	+8.698e+03	+3.068e+03	+9.438e+03	+0.261
1.200	+7.452e+03	+2.663e+03	+9.646e+03	+0.263
1.300	+8.062e+03	+2.137e+03	+1.003e+04	+0.210
1.400	+7.073e+03	+2.686e+03	+9.386e+03	+0.275
1.500	+7.137e+03	+1.819e+03	+1.034e+04	+0.203
1.600	+6.591e+03	+2.183e+03	+1.052e+04	+0.249
1.700	+7.312e+03	+2.104e+03	+9.182e+03	+0.223
1.800	+7.690e+03	+2.667e+03	+1.018e+04	+0.258
1.900	+8.244e+03	+2.279e+03	+1.094e+04	+0.217
2.000	+7.686e+03	+1.235e+03	+1.071e+04	+0.138
2.100	+7.073e+03	+1.575e+03	+9.390e+03	+0.182
2.200	+7.959e+03	+3.262e+03	+1.067e+04	+0.291
2.300	+7.391e+03	+3.374e+03	+1.088e+04	+0.313
2.400	+6.398e+03	+2.722e+03	+1.059e+04	+0.298
2.500	+3.045e+03	+6.559e+03	+1.115e+04	+0.683
2.600	+2.386e+03	+8.344e+03	+1.032e+04	+0.778
2.700	+2.226e+03	+8.433e+03	+1.021e+04	+0.791
2.800	+1.761e+03	+8.938e+03	+8.971e+03	+0.835
2.900	+8.884e+02	+8.206e+03	+9.591e+03	+0.902
3.000	+7.016e+02	+7.622e+03	+1.010e+04	+0.916
3.100	+1.739e+03	+8.249e+03	+8.979e+03	+0.826
3.200	+2.170e+03	+7.827e+03	+9.575e+03	+0.783
3.300	+1.739e+03	+7.625e+03	+1.025e+04	+0.814
3.400	+3.149e+03	+8.056e+03	+9.718e+03	+0.719
3.500	+1.380e+03	+8.192e+03	+1.027e+04	+0.856
3.600	+1.018e+03	+8.239e+03	+8.987e+03	+0.890
3.700	+1.794e+03	+8.823e+03	+9.814e+03	+0.831
3.800	+1.092e+03	+7.836e+03	+9.535e+03	+0.878
3.900	+2.080e+03	+6.931e+03	+1.049e+04	+0.769
4.000	+1.685e+03	+6.758e+03	+9.595e+03	+0.800
4.100	+1.212e+03	+7.344e+03	+1.053e+04	+0.858
4.200	+1.538e+03	+8.177e+03	+1.057e+04	+0.842
4.300	+2.420e+03	+7.798e+03	+1.053e+04	+0.763
4.400	+1.027e+03	+7.876e+03	+9.825e+03	+0.885
4.500	+1.552e+03	+8.283e+03	+8.781e+03	+0.842
4.600	+1.325e+03	+7.584e+03	+9.384e+03	+0.851
4.700	+1.053e+03	+7.109e+03	+1.027e+04	+0.871
4.800	+1.928e+03	+8.541e+03	+1.054e+04	+0.816
4.900	+2.800e+03	+7.961e+03	+9.212e+03	+0.740
5.000	+2.159e+03	+7.472e+03	+1.089e+04	+0.776
5.100	+2.263e+03	+7.623e+03	+1.010e+04	+0.771
5.200	+1.973e+03	+7.604e+03	+9.594e+03	+0.794
5.300	+2.288e+03	+8.687e+03	+9.732e+03	+0.792
5.400	+2.007e+03	+7.678e+03	+1.023e+04	+0.793
5.500	+2.932e+03	+7.475e+03	+9.627e+03	+0.718
5.600	+1.957e+03	+7.079e+03	+1.141e+04	+0.783
5.700	+2.482e+03	+7.234e+03	+9.841e+03	+0.745
5.800	+1.637e+03	+9.026e+03	+8.763e+03	+0.846
5.900	+2.478e+03	+7.882e+03	+9.578e+03	+0.761
6.000	+1.961e+03	+8.227e+03	+1.011e+04	+0.808
