%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+8.096e+03	+3.151e+03	+1.063e+04	+0.280
0.100	+8.459e+03	+2.633e+03	+9.567e+03	+0.237
0.200	+7.575e+03	+3.088e+03	+1.058e+04	+0.290
0.300	+6.945e+03	+2.978e+03	+1.099e+04	+0.300
0.400	+6.287e+03	+3.411e+03	+9.103e+03	+0.352
0.500	+7.450e+03	+3.264e+03	+1.030e+04	+0.305
0.600	+7.483e+03	+2.591e+03	+8.991e+03	+0.257
0.700	+8.092e+03	+1.964e+03	+9.332e+03	+0.195
0.800	+5.155e+03	+5.248e+03	+1.016e+04	+0.504
0.900	+4.476e+03	+5.113e+03	+1.078e+04	+0.533
1.000	+4.618e+03	+4.625e+03	+9.536e+03	+0.500
1.100	+5.466e+03	+6.174e+03	+1.001e+04	+0.530
1.200	+4.508e+03	+5.428e+03	+1.017e+04	+0.546
1.300	+5.646e+03	+5.029e+03	+1.081e+04	+0.471
1.400	+4.902e+03	+5.448e+03	+1.037e+04	+0.526
1.500	+4.801e+03	+5.526e+03	+9.438e+03	+0.535
1.600	+5.039e+03	+4.489e+03	+1.167e+04	+0.471
1.700	+5.385e+03	+3.992e+03	+1.026e+04	+0.426
1.800	+5.223e+03	+3.756e+03	+1.060e+04	+0.418
1.900	+4.302e+03	+4.872e+03	+1.058e+04	+0.531
2.000	+5.657e+03	+4.403e+03	+8.881e+03	+0.438
2.100	+4.953e+03	+5.610e+03	+9.471e+03	+0.531
2.200	+4.481e+03	+6.212e+03	+1.149e+04	+0.581
2.300	+3.388e+03	+4.567e+03	+9.543e+03	+0.574
2.400	+4.683e+03	+5.609e+03	+9.425e+03	+0.545
2.500	+4.646e+03	+4.821e+03	+9.529e+03	+0.509
2.600	+5.541e+03	+4.524e+03	+9.063e+03	+0.449
2.700	+4.792e+03	+4.791e+03	+9.916e+03	+0.500
2.800	+5.012e+03	+4.635e+03	+9.049e+03	+0.480
