0.005,0
0.015,3
0.025,4
0.035,9
0.045,7
0.055,11
0.065,9
0.075,18
0.085,20
0.095,37
0.105,51
0.115,71
0.125,106
0.135,117
0.145,180
0.155,233
0.165,327
0.175,448
0.185,515
0.195,659
0.205,815
0.215,1074
0.225,1198
0.235,1553
0.245,1760
0.255,2119
0.265,2294
0.275,2527
0.285,2693
0.295,2888
0.305,2896
0.315,2882
0.325,2810
0.335,2623
0.345,2459
0.355,2059
0.365,1779
0.375,1552
0.385,1273
0.395,972
0.405,867
0.415,663
0.425,515
0.435,430
0.445,368
0.455,303
0.465,288
0.475,266
0.485,256
0.495,250
0.505,256
0.515,260
0.525,283
0.535,307
0.545,380
0.555,440
0.565,545
0.575,668
0.585,882
0.595,1171
0.605,1415
0.615,1848
0.625,2215
0.635,2818
0.645,3246
0.655,3705
0.665,4133
0.675,4453
0.685,4529
0.695,4521
0.705,4601
0.715,4252
0.725,4049
0.735,3712
0.745,3313
0.755,2843
0.765,2489
0.775,2067
0.785,1660
0.795,1378
0.805,1075
0.815,867
0.825,691
0.835,509
0.845,361
0.855,301
0.865,218
0.875,143
0.885,113
0.895,59
0.905,56
0.915,37
0.925,23
0.935,27
0.945,9
0.955,9
0.965,11
0.975,10
0.985,2
0.995,4
