%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+3.463e+00
2	2	+3.463e+00	+1.094e+00
3	3	+4.557e+00	+3.064e+00
2	2	+7.621e+00	+9.851e-01
1	1	+8.606e+00	+9.484e-02
2	2	+8.701e+00	+7.672e-01
3	3	+9.468e+00	+1.098e+00
2	2	+1.057e+01	+2.182e+00
1	1	+1.275e+01	+4.360e-01
2	2	+1.318e+01	+8.804e-01
3	3	+1.406e+01	+1.683e+00
2	2	+1.575e+01	+2.572e+00
3	3	+1.832e+01	+3.900e-01
2	2	+1.871e+01	+2.508e+00
3	3	+2.122e+01	+1.887e+00
1	1	+2.310e+01	+3.360e+00
2	2	+2.646e+01	+1.063e-01
3	3	+2.657e+01	+7.217e+00
2	2	+3.379e+01	+3.315e+00
3	3	+3.710e+01	+7.479e-01
2	2	+3.785e+01	+1.637e+00
1	1	+3.949e+01	+2.043e+00
2	2	+4.153e+01	+3.172e+00
3	3	+4.470e+01	+8.925e-01
2	2	+4.560e+01	+2.359e+00
0	0	+4.795e+01	+Inf
