%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+1.726e+03	+8.788e+03	+1.057e+04	+0.836
0.100	+1.916e+03	+6.387e+03	+1.076e+04	+0.769
0.200	+2.462e+03	+7.876e+03	+9.598e+03	+0.762
0.300	+1.667e+03	+8.239e+03	+1.012e+04	+0.832
0.400	+2.750e+03	+6.340e+03	+9.196e+03	+0.697
0.500	+2.078e+03	+8.490e+03	+9.225e+03	+0.803
0.600	+2.405e+03	+7.411e+03	+1.068e+04	+0.755
0.700	+2.951e+03	+7.234e+03	+1.073e+04	+0.710
0.800	+2.639e+03	+8.437e+03	+1.068e+04	+0.762
0.900	+1.985e+03	+8.152e+03	+9.511e+03	+0.804
1.000	+2.688e+03	+7.723e+03	+9.975e+03	+0.742
1.100	+1.638e+03	+1.008e+04	+9.584e+03	+0.860
1.200	+2.571e+03	+8.596e+03	+1.100e+04	+0.770
1.300	+1.916e+03	+7.648e+03	+9.996e+03	+0.800
1.400	+2.349e+03	+7.836e+03	+9.787e+03	+0.769
1.500	+1.843e+03	+8.187e+03	+9.695e+03	+0.816
1.600	+1.262e+03	+7.711e+03	+1.002e+04	+0.859
1.700	+1.728e+03	+8.160e+03	+1.035e+04	+0.825
1.800	+1.521e+03	+7.916e+03	+1.099e+04	+0.839
1.900	+1.579e+03	+7.926e+03	+1.072e+04	+0.834
2.000	+1.095e+03	+8.005e+03	+9.652e+03	+0.880
2.100	+2.310e+03	+6.958e+03	+1.010e+04	+0.751
2.200	+4.513e+03	+3.245e+03	+9.287e+03	+0.418
2.300	+3.972e+03	+4.906e+03	+8.341e+03	+0.553
2.400	+5.754e+03	+4.882e+03	+1.003e+04	+0.459
2.500	+4.857e+03	+7.100e+03	+1.081e+04	+0.594
2.600	+5.289e+03	+4.130e+03	+9.180e+03	+0.439
2.700	+5.639e+03	+4.629e+03	+1.016e+04	+0.451
2.800	+4.929e+03	+5.052e+03	+1.041e+04	+0.506
2.900	+4.660e+03	+5.000e+03	+1.022e+04	+0.518
3.000	+5.143e+03	+5.419e+03	+8.945e+03	+0.513
3.100	+3.688e+03	+4.998e+03	+9.949e+03	+0.575
3.200	+5.540e+03	+3.973e+03	+1.003e+04	+0.418
3.300	+5.624e+03	+4.309e+03	+1.022e+04	+0.434
3.400	+4.582e+03	+5.461e+03	+1.156e+04	+0.544
3.500	+4.706e+03	+5.722e+03	+1.027e+04	+0.549
3.600	+5.494e+03	+4.836e+03	+1.133e+04	+0.468
3.700	+4.764e+03	+3.864e+03	+1.020e+04	+0.448
3.800	+4.987e+03	+5.302e+03	+9.505e+03	+0.515
3.900	+5.925e+03	+5.176e+03	+1.010e+04	+0.466
4.000	+6.551e+03	+5.345e+03	+9.328e+03	+0.449
4.100	+5.200e+03	+4.253e+03	+1.003e+04	+0.450
4.200	+5.627e+03	+5.471e+03	+1.046e+04	+0.493
4.300	+5.045e+03	+5.643e+03	+9.746e+03	+0.528
4.400	+5.112e+03	+5.375e+03	+1.189e+04	+0.513
4.500	+3.778e+03	+5.141e+03	+9.646e+03	+0.576
4.600	+6.323e+03	+4.085e+03	+8.799e+03	+0.393
4.700	+4.361e+03	+4.519e+03	+1.064e+04	+0.509
4.800	+6.123e+03	+5.453e+03	+9.090e+03	+0.471
4.900	+6.301e+03	+4.493e+03	+9.044e+03	+0.416
5.000	+4.284e+03	+5.523e+03	+8.820e+03	+0.563
5.100	+5.086e+03	+4.768e+03	+9.415e+03	+0.484
5.200	+5.433e+03	+3.563e+03	+9.145e+03	+0.396
5.300	+7.695e+03	+2.871e+03	+1.019e+04	+0.272
5.400	+7.391e+03	+2.111e+03	+9.114e+03	+0.222
5.500	+7.765e+03	+3.449e+03	+9.054e+03	+0.308
5.600	+7.018e+03	+1.496e+03	+1.081e+04	+0.176
5.700	+8.432e+03	+2.948e+03	+1.005e+04	+0.259
5.800	+8.109e+03	+3.163e+03	+9.527e+03	+0.281
5.900	+7.793e+03	+1.547e+03	+9.805e+03	+0.166
6.000	+7.674e+03	+3.436e+03	+1.033e+04	+0.309
6.100	+7.610e+03	+2.736e+03	+1.051e+04	+0.264
6.200	+7.948e+03	+3.031e+03	+1.157e+04	+0.276
6.300	+7.493e+03	+2.660e+03	+9.092e+03	+0.262
6.400	+7.914e+03	+2.215e+03	+1.065e+04	+0.219
6.500	+9.256e+03	+2.113e+03	+1.031e+04	+0.186
6.600	+8.629e+03	+2.077e+03	+9.526e+03	+0.194
6.700	+5.906e+03	+2.063e+03	+1.062e+04	+0.259
6.800	+7.130e+03	+3.094e+03	+9.062e+03	+0.303
6.900	+7.092e+03	+4.529e+03	+9.796e+03	+0.390
7.000	+7.516e+03	+1.747e+03	+1.099e+04	+0.189
7.100	+7.387e+03	+2.153e+03	+1.061e+04	+0.226
7.200	+6.897e+03	+1.654e+03	+1.078e+04	+0.193
7.300	+6.974e+03	+3.074e+03	+1.070e+04	+0.306
7.400	+6.755e+03	+3.618e+03	+1.105e+04	+0.349
7.500	+9.055e+03	+3.236e+03	+9.717e+03	+0.263
7.600	+7.680e+03	+2.163e+03	+1.094e+04	+0.220
7.700	+7.364e+03	+1.692e+03	+8.869e+03	+0.187
7.800	+7.545e+03	+3.092e+03	+9.042e+03	+0.291
7.900	+7.242e+03	+1.110e+03	+9.633e+03	+0.133
8.000	+8.072e+03	+3.372e+03	+9.236e+03	+0.295
8.100	+7.975e+03	+1.965e+03	+8.881e+03	+0.198
8.200	+7.337e+03	+2.393e+03	+8.975e+03	+0.246
8.300	+7.506e+03	+2.019e+03	+9.835e+03	+0.212
8.400	+7.703e+03	+2.667e+03	+9.031e+03	+0.257
8.500	+7.939e+03	+1.609e+03	+1.055e+04	+0.169
8.600	+6.987e+03	+3.589e+03	+1.050e+04	+0.339
8.700	+5.221e+03	+4.967e+03	+1.076e+04	+0.488
8.800	+4.615e+03	+5.247e+03	+1.006e+04	+0.532
8.900	+5.520e+03	+5.207e+03	+9.769e+03	+0.485
9.000	+5.916e+03	+4.633e+03	+9.219e+03	+0.439
9.100	+4.978e+03	+5.086e+03	+1.017e+04	+0.505
9.200	+5.294e+03	+5.186e+03	+1.004e+04	+0.495
9.300	+5.495e+03	+4.865e+03	+1.009e+04	+0.470
9.400	+5.490e+03	+5.810e+03	+1.004e+04	+0.514
9.500	+4.857e+03	+4.693e+03	+1.038e+04	+0.491
9.600	+6.768e+03	+2.983e+03	+1.086e+04	+0.306
9.700	+7.500e+03	+2.722e+03	+1.063e+04	+0.266
9.800	+6.699e+03	+2.369e+03	+9.764e+03	+0.261
9.900	+6.139e+03	+3.194e+03	+1.069e+04	+0.342
10.000	+9.536e+03	+2.889e+03	+9.439e+03	+0.233
10.100	+7.755e+03	+2.990e+03	+1.006e+04	+0.278
10.200	+8.292e+03	+1.870e+03	+1.010e+04	+0.184
10.300	+6.211e+03	+1.768e+03	+9.646e+03	+0.222
10.400	+7.269e+03	+1.306e+03	+1.067e+04	+0.152
10.500	+7.184e+03	+3.341e+03	+9.433e+03	+0.317
10.600	+7.576e+03	+1.980e+03	+1.040e+04	+0.207
10.700	+8.064e+03	+3.395e+03	+9.475e+03	+0.296
10.800	+6.891e+03	+2.247e+03	+9.591e+03	+0.246
10.900	+6.479e+03	+3.106e+03	+1.182e+04	+0.324
11.000	+8.829e+03	+2.425e+03	+9.779e+03	+0.215
11.100	+7.083e+03	+2.510e+03	+1.024e+04	+0.262
11.200	+7.474e+03	+2.730e+03	+1.001e+04	+0.268
11.300	+7.367e+03	+2.222e+03	+9.726e+03	+0.232
11.400	+8.668e+03	+3.494e+03	+1.143e+04	+0.287
11.500	+8.105e+03	+2.022e+03	+9.576e+03	+0.200
11.600	+8.217e+03	+2.729e+03	+1.043e+04	+0.249
11.700	+7.360e+03	+1.670e+03	+1.018e+04	+0.185
11.800	+7.143e+03	+2.550e+03	+9.621e+03	+0.263
11.900	+6.670e+03	+3.353e+03	+8.737e+03	+0.335
12.000	+7.540e+03	+3.155e+03	+1.054e+04	+0.295
12.100	+5.492e+03	+2.554e+03	+1.089e+04	+0.317
12.200	+7.759e+03	+2.843e+03	+1.029e+04	+0.268
12.300	+7.666e+03	+2.027e+03	+9.443e+03	+0.209
12.400	+6.977e+03	+2.223e+03	+9.425e+03	+0.242
12.500	+7.607e+03	+2.561e+03	+1.013e+04	+0.252
12.600	+7.014e+03	+3.358e+03	+1.105e+04	+0.324
12.700	+6.327e+03	+3.808e+03	+1.009e+04	+0.376
12.800	+4.691e+03	+2.991e+03	+9.783e+03	+0.389
12.900	+5.909e+03	+5.155e+03	+1.035e+04	+0.466
13.000	+4.917e+03	+5.109e+03	+1.037e+04	+0.510
13.100	+5.710e+03	+5.088e+03	+1.013e+04	+0.471
13.200	+4.877e+03	+4.935e+03	+1.020e+04	+0.503
13.300	+4.650e+03	+4.174e+03	+9.818e+03	+0.473
13.400	+4.460e+03	+3.788e+03	+9.994e+03	+0.459
13.500	+5.671e+03	+5.130e+03	+9.547e+03	+0.475
13.600	+5.672e+03	+6.073e+03	+1.116e+04	+0.517
13.700	+5.425e+03	+3.996e+03	+1.062e+04	+0.424
13.800	+5.583e+03	+4.018e+03	+9.647e+03	+0.418
13.900	+1.906e+03	+8.120e+03	+1.033e+04	+0.810
