%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+8.862e+03	+1.209e+03	+9.398e+03	+0.120
0.100	+7.208e+03	+2.432e+03	+1.017e+04	+0.252
0.200	+7.839e+03	+3.310e+03	+1.055e+04	+0.297
0.300	+6.849e+03	+3.269e+03	+1.103e+04	+0.323
0.400	+7.910e+03	+3.604e+03	+9.018e+03	+0.313
0.500	+7.182e+03	+2.342e+03	+1.059e+04	+0.246
0.600	+8.142e+03	+2.352e+03	+1.040e+04	+0.224
0.700	+7.481e+03	+2.402e+03	+9.913e+03	+0.243
0.800	+7.999e+03	+2.535e+03	+9.792e+03	+0.241
0.900	+6.706e+03	+3.154e+03	+9.950e+03	+0.320
1.000	+7.386e+03	+1.552e+03	+1.138e+04	+0.174
1.100	+7.214e+03	+1.662e+03	+9.024e+03	+0.187
1.200	+7.444e+03	+1.882e+03	+1.075e+04	+0.202
1.300	+6.954e+03	+2.342e+03	+9.136e+03	+0.252
1.400	+7.482e+03	+2.880e+03	+1.047e+04	+0.278
1.500	+7.585e+03	+2.752e+03	+9.898e+03	+0.266
1.600	+7.680e+03	+2.626e+03	+8.658e+03	+0.255
1.700	+8.266e+03	+3.808e+03	+8.942e+03	+0.315
1.800	+6.402e+03	+2.630e+03	+9.935e+03	+0.291
1.900	+9.083e+03	+2.394e+03	+9.414e+03	+0.209
2.000	+7.520e+03	+1.098e+03	+1.057e+04	+0.127
2.100	+7.833e+03	+2.635e+03	+9.828e+03	+0.252
2.200	+7.781e+03	+2.880e+03	+9.141e+03	+0.270
2.300	+7.271e+03	+4.113e+03	+9.555e+03	+0.361
2.400	+9.021e+03	+1.489e+03	+1.095e+04	+0.142
2.500	+7.625e+03	+1.446e+03	+1.097e+04	+0.159
2.600	+6.841e+03	+4.018e+03	+1.025e+04	+0.370
2.700	+7.922e+03	+3.619e+03	+1.091e+04	+0.314
2.800	+7.332e+03	+2.867e+03	+1.098e+04	+0.281
2.900	+8.439e+03	+2.293e+03	+1.087e+04	+0.214
3.000	+6.868e+03	+1.696e+03	+1.100e+04	+0.198
3.100	+7.874e+03	+2.229e+03	+1.157e+04	+0.221
3.200	+7.785e+03	+2.816e+03	+1.089e+04	+0.266
3.300	+7.500e+03	+2.327e+03	+8.947e+03	+0.237
3.400	+7.472e+03	+2.871e+03	+9.481e+03	+0.278
3.500	+7.130e+03	+1.306e+03	+1.082e+04	+0.155
3.600	+7.265e+03	+2.569e+03	+9.604e+03	+0.261
3.700	+8.155e+03	+2.912e+03	+9.631e+03	+0.263
3.800	+6.234e+03	+1.758e+03	+1.069e+04	+0.220
3.900	+7.465e+03	+2.626e+03	+9.679e+03	+0.260
4.000	+7.848e+03	+2.989e+03	+1.041e+04	+0.276
4.100	+7.864e+03	+3.000e+03	+1.010e+04	+0.276
4.200	+7.806e+03	+2.019e+03	+1.010e+04	+0.206
4.300	+6.970e+03	+2.825e+03	+1.059e+04	+0.288
4.400	+8.209e+03	+3.274e+03	+9.154e+03	+0.285
4.500	+8.176e+03	+3.578e+03	+9.776e+03	+0.304
4.600	+8.407e+03	+2.648e+03	+9.699e+03	+0.240
4.700	+8.134e+03	+2.974e+03	+9.288e+03	+0.268
4.800	+7.112e+03	+2.308e+03	+1.062e+04	+0.245
4.900	+7.631e+03	+2.934e+03	+8.766e+03	+0.278
5.000	+6.238e+03	+2.791e+03	+9.515e+03	+0.309
5.100	+7.516e+03	+3.158e+03	+1.058e+04	+0.296
5.200	+6.670e+03	+3.473e+03	+1.130e+04	+0.342
5.300	+8.237e+03	+4.344e+03	+1.031e+04	+0.345
5.400	+7.289e+03	+1.250e+03	+1.030e+04	+0.146
5.500	+6.993e+03	+2.556e+03	+1.093e+04	+0.268
5.600	+8.292e+03	+2.374e+03	+9.967e+03	+0.223
5.700	+8.212e+03	+2.008e+03	+8.925e+03	+0.197
5.800	+7.536e+03	+1.810e+03	+1.085e+04	+0.194
