%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+1.339e+00
3	3	+1.339e+00	+4.019e-01
1	1	+1.741e+00	+4.668e+00
2	2	+6.409e+00	+1.228e+01
3	3	+1.869e+01	+1.949e+00
2	2	+2.064e+01	+8.012e+00
1	1	+2.865e+01	+1.350e+00
2	2	+3.000e+01	+4.042e+00
3	3	+3.404e+01	+2.484e-01
2	2	+3.429e+01	+3.511e-01
3	3	+3.464e+01	+3.645e+00
2	2	+3.829e+01	+1.355e+00
3	3	+3.964e+01	+5.323e-01
2	2	+4.017e+01	+3.418e+00
3	3	+4.359e+01	+5.350e-01
1	1	+4.413e+01	+7.022e+00
2	2	+5.115e+01	+3.485e+00
1	1	+5.463e+01	+1.125e+00
2	2	+5.576e+01	+3.201e-01
1	1	+5.608e+01	+1.927e-01
2	2	+5.627e+01	+1.738e+00
3	3	+5.801e+01	+3.696e+00
2	2	+6.170e+01	+2.282e+00
3	3	+6.399e+01	+6.480e-01
1	1	+6.463e+01	+9.676e-01
2	2	+6.560e+01	+6.283e-01
3	3	+6.623e+01	+5.552e-01
2	2	+6.679e+01	+8.283e+00
3	3	+7.507e+01	+7.517e-01
2	2	+7.582e+01	+1.050e+00
3	3	+7.687e+01	+3.187e+00
2	2	+8.006e+01	+9.456e-02
1	1	+8.015e+01	+5.918e-01
2	2	+8.074e+01	+1.733e+00
3	3	+8.248e+01	+1.318e-01
2	2	+8.261e+01	+4.295e+00
3	3	+8.690e+01	+1.666e+00
1	1	+8.857e+01	+7.241e-01
2	2	+8.929e+01	+1.565e+00
3	3	+9.086e+01	+1.007e+01
2	2	+1.009e+02	+2.771e+00
3	3	+1.037e+02	+2.202e+00
1	1	+1.059e+02	+4.190e+00
2	2	+1.101e+02	+8.330e-01
0	0	+1.109e+02	+Inf
