%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+3.209e+00
1	1	+3.209e+00	+4.372e+00
2	2	+7.581e+00	+1.225e+00
3	3	+8.806e+00	+5.528e-01
2	2	+9.359e+00	+1.556e+00
3	3	+1.092e+01	+3.637e+00
2	2	+1.455e+01	+9.158e+00
3	3	+2.371e+01	+3.273e-01
2	2	+2.404e+01	+4.240e+00
3	3	+2.828e+01	+6.561e-01
1	1	+2.893e+01	+8.543e-01
2	2	+2.979e+01	+4.256e+00
1	1	+3.404e+01	+6.799e-01
2	2	+3.472e+01	+2.260e+00
3	3	+3.698e+01	+3.285e+00
2	2	+4.027e+01	+4.155e+00
3	3	+4.442e+01	+4.144e-01
2	2	+4.484e+01	+1.563e+00
3	3	+4.640e+01	+1.389e+00
2	2	+4.779e+01	+3.626e-01
3	3	+4.815e+01	+1.067e+00
2	2	+4.922e+01	+4.673e+00
3	3	+5.389e+01	+5.159e-01
2	2	+5.441e+01	+8.347e-01
3	3	+5.524e+01	+2.058e+00
2	2	+5.730e+01	+1.781e+00
3	3	+5.908e+01	+1.478e-01
1	1	+5.923e+01	+6.658e+00
2	2	+6.589e+01	+4.792e+00
3	3	+7.068e+01	+7.694e-01
2	2	+7.145e+01	+1.828e+00
3	3	+7.328e+01	+1.261e+00
2	2	+7.454e+01	+1.632e+00
3	3	+7.617e+01	+3.019e-02
2	2	+7.620e+01	+2.988e-01
3	3	+7.650e+01	+1.228e+00
2	2	+7.773e+01	+3.861e+00
1	1	+8.159e+01	+3.003e+00
2	2	+8.459e+01	+3.852e+00
3	3	+8.844e+01	+9.281e-01
1	1	+8.937e+01	+2.887e+00
2	2	+9.226e+01	+1.806e+00
3	3	+9.407e+01	+1.191e+00
2	2	+9.526e+01	+2.768e-01
0	0	+9.553e+01	+Inf
