%state	deg. state	t_start (s)	t_dwell (s)
2	2	+0.000e+00	+2.185e+00
1	1	+2.185e+00	+5.581e-01
2	2	+2.743e+00	+3.431e+00
3	3	+6.174e+00	+1.192e+00
1	1	+7.366e+00	+5.871e+00
2	2	+1.324e+01	+5.640e-01
3	3	+1.380e+01	+3.355e-01
2	2	+1.414e+01	+8.849e+00
3	3	+2.299e+01	+1.931e+00
2	2	+2.492e+01	+2.606e+00
3	3	+2.752e+01	+3.020e+00
2	2	+3.054e+01	+6.635e-01
3	3	+3.121e+01	+2.229e-01
2	2	+3.143e+01	+2.405e+00
3	3	+3.383e+01	+2.728e+00
2	2	+3.656e+01	+1.617e+00
3	3	+3.818e+01	+9.898e-01
2	2	+3.917e+01	+8.603e-01
3	3	+4.003e+01	+2.970e-01
2	2	+4.033e+01	+5.210e-01
3	3	+4.085e+01	+8.006e-01
1	1	+4.165e+01	+1.043e+00
2	2	+4.269e+01	+4.852e-01
3	3	+4.318e+01	+1.674e-01
2	2	+4.334e+01	+4.318e-01
3	3	+4.377e+01	+2.574e-01
2	2	+4.403e+01	+6.388e-01
3	3	+4.467e+01	+1.437e+00
2	2	+4.611e+01	+1.655e+00
3	3	+4.776e+01	+3.667e-01
2	2	+4.813e+01	+8.813e-01
1	1	+4.901e+01	+3.319e-01
2	2	+4.934e+01	+3.893e+00
3	3	+5.324e+01	+2.774e-01
2	2	+5.351e+01	+5.078e+00
3	3	+5.859e+01	+4.698e+00
2	2	+6.329e+01	+1.775e+00
3	3	+6.506e+01	+2.151e+00
1	1	+6.722e+01	+4.404e+00
2	2	+7.162e+01	+8.588e-01
3	3	+7.248e+01	+9.669e-01
2	2	+7.345e+01	+1.296e-02
3	3	+7.346e+01	+1.225e+00
2	2	+7.468e+01	+5.582e-02
3	3	+7.474e+01	+1.298e+00
2	2	+7.604e+01	+3.859e+00
3	3	+7.990e+01	+3.306e+00
1	1	+8.320e+01	+1.078e+00
2	2	+8.428e+01	+7.607e+00
1	1	+9.189e+01	+5.937e-01
2	2	+9.248e+01	+4.323e+00
3	3	+9.680e+01	+9.489e-01
2	2	+9.775e+01	+5.677e+00
3	3	+1.034e+02	+4.208e+00
2	2	+1.076e+02	+2.377e+00
3	3	+1.100e+02	+5.150e-01
2	2	+1.105e+02	+1.239e+00
3	3	+1.118e+02	+3.187e+00
1	1	+1.150e+02	+2.104e+00
2	2	+1.171e+02	+6.571e-01
3	3	+1.177e+02	+6.523e-01
2	2	+1.184e+02	+8.926e+00
3	3	+1.273e+02	+4.899e-01
2	2	+1.278e+02	+1.684e+00
1	1	+1.295e+02	+1.059e+00
2	2	+1.305e+02	+1.356e+00
1	1	+1.319e+02	+6.976e-02
2	2	+1.320e+02	+1.877e+00
3	3	+1.338e+02	+6.175e-01
1	1	+1.344e+02	+2.522e+00
2	2	+1.370e+02	+5.400e-01
3	3	+1.375e+02	+2.137e+00
2	2	+1.396e+02	+4.124e+00
3	3	+1.438e+02	+5.232e-01
2	2	+1.443e+02	+4.947e+00
3	3	+1.492e+02	+4.980e-01
2	2	+1.497e+02	+1.879e+00
3	3	+1.516e+02	+4.857e+00
1	1	+1.565e+02	+1.174e+00
2	2	+1.577e+02	+1.034e+00
3	3	+1.587e+02	+1.340e+00
2	2	+1.600e+02	+1.981e+00
3	3	+1.620e+02	+3.238e-01
2	2	+1.623e+02	+1.739e+00
3	3	+1.641e+02	+4.213e+00
2	2	+1.683e+02	+1.748e+00
3	3	+1.700e+02	+1.694e+00
2	2	+1.717e+02	+3.757e+00
3	3	+1.755e+02	+2.105e+00
2	2	+1.776e+02	+1.869e+00
1	1	+1.795e+02	+1.063e+01
0	0	+1.901e+02	+Inf
