%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+3.918e-01
2	2	+3.918e-01	+4.601e+00
1	1	+4.993e+00	+3.571e+00
2	2	+8.564e+00	+1.426e+00
1	1	+9.990e+00	+8.383e+00
2	2	+1.837e+01	+7.005e-01
1	1	+1.907e+01	+5.523e+00
2	2	+2.460e+01	+1.916e+00
3	3	+2.651e+01	+2.501e+00
2	2	+2.901e+01	+3.568e-01
3	3	+2.937e+01	+3.948e+00
2	2	+3.332e+01	+1.519e+00
3	3	+3.484e+01	+2.852e+00
2	2	+3.769e+01	+5.793e+00
3	3	+4.348e+01	+2.870e+00
2	2	+4.635e+01	+2.366e+00
3	3	+4.872e+01	+1.830e+00
2	2	+5.055e+01	+3.323e+00
3	3	+5.387e+01	+5.092e-01
2	2	+5.438e+01	+1.246e+00
3	3	+5.563e+01	+1.516e+00
2	2	+5.714e+01	+7.759e-01
0	0	+5.792e+01	+Inf
