%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+7.347e+03	+1.854e+03	+9.133e+03	+0.201
0.100	+6.663e+03	+1.522e+03	+9.963e+03	+0.186
0.200	+7.354e+03	+4.420e+02	+1.071e+04	+0.057
0.300	+6.271e+03	+3.207e+03	+1.034e+04	+0.338
0.400	+7.328e+03	+2.923e+03	+9.448e+03	+0.285
0.500	+7.164e+03	+2.019e+03	+1.002e+04	+0.220
0.600	+7.859e+03	+2.239e+03	+1.096e+04	+0.222
0.700	+7.125e+03	+2.117e+03	+1.103e+04	+0.229
0.800	+7.331e+03	+2.472e+03	+9.256e+03	+0.252
0.900	+6.902e+03	+2.522e+03	+1.082e+04	+0.268
1.000	+6.805e+03	+1.285e+03	+9.763e+03	+0.159
1.100	+7.763e+03	+2.245e+03	+1.105e+04	+0.224
1.200	+8.262e+03	+2.851e+03	+9.130e+03	+0.257
1.300	+6.807e+03	+2.032e+03	+1.009e+04	+0.230
1.400	+7.164e+03	+2.797e+03	+1.010e+04	+0.281
1.500	+8.866e+03	+2.768e+03	+1.052e+04	+0.238
1.600	+8.412e+03	+2.574e+03	+1.083e+04	+0.234
1.700	+6.940e+03	+2.306e+03	+1.070e+04	+0.249
1.800	+7.136e+03	+2.611e+03	+1.101e+04	+0.268
1.900	+7.367e+03	+2.547e+03	+1.104e+04	+0.257
2.000	+7.465e+03	+3.125e+03	+9.388e+03	+0.295
2.100	+7.475e+03	+1.782e+03	+9.701e+03	+0.192
2.200	+6.592e+03	+1.600e+03	+1.037e+04	+0.195
2.300	+7.810e+03	+1.898e+03	+9.974e+03	+0.195
2.400	+6.344e+03	+2.415e+03	+9.358e+03	+0.276
2.500	+5.956e+03	+3.275e+03	+1.016e+04	+0.355
2.600	+6.986e+03	+2.968e+03	+1.002e+04	+0.298
2.700	+8.386e+03	+2.853e+03	+9.748e+03	+0.254
2.800	+7.419e+03	+3.407e+03	+9.663e+03	+0.315
2.900	+8.125e+03	+3.184e+03	+8.992e+03	+0.282
3.000	+7.681e+03	+2.004e+03	+1.058e+04	+0.207
3.100	+7.817e+03	+2.699e+03	+1.124e+04	+0.257
3.200	+8.047e+03	+3.125e+03	+9.611e+03	+0.280
3.300	+7.169e+03	+2.394e+03	+1.057e+04	+0.250
3.400	+7.299e+03	+2.142e+03	+1.009e+04	+0.227
3.500	+7.840e+03	+2.345e+03	+1.026e+04	+0.230
3.600	+9.025e+03	+2.050e+03	+8.880e+03	+0.185
3.700	+7.347e+03	+2.903e+03	+9.631e+03	+0.283
3.800	+7.840e+03	+2.759e+03	+1.034e+04	+0.260
3.900	+7.905e+03	+2.704e+03	+9.032e+03	+0.255
4.000	+8.994e+03	+2.890e+03	+9.702e+03	+0.243
4.100	+8.113e+03	+3.346e+03	+8.869e+03	+0.292
4.200	+8.048e+03	+2.594e+03	+1.109e+04	+0.244
4.300	+7.448e+03	+1.318e+03	+9.346e+03	+0.150
4.400	+7.428e+03	+2.796e+03	+1.033e+04	+0.273
4.500	+6.993e+03	+2.880e+03	+9.884e+03	+0.292
4.600	+8.444e+03	+2.313e+03	+9.794e+03	+0.215
4.700	+7.805e+03	+2.382e+03	+1.014e+04	+0.234
4.800	+6.965e+03	+3.649e+03	+1.034e+04	+0.344
4.900	+6.978e+03	+2.739e+03	+9.604e+03	+0.282
5.000	+7.419e+03	+2.348e+03	+1.058e+04	+0.240
5.100	+7.672e+03	+2.450e+03	+1.039e+04	+0.242
5.200	+7.926e+03	+1.894e+03	+1.051e+04	+0.193
5.300	+7.247e+03	+3.535e+03	+1.050e+04	+0.328
5.400	+7.796e+03	+2.360e+03	+9.979e+03	+0.232
5.500	+7.416e+03	+2.166e+03	+1.038e+04	+0.226
5.600	+7.299e+03	+3.316e+03	+1.066e+04	+0.312
5.700	+7.339e+03	+1.081e+03	+9.360e+03	+0.128
5.800	+7.455e+03	+1.837e+03	+8.918e+03	+0.198
5.900	+6.754e+03	+3.179e+03	+8.870e+03	+0.320
6.000	+4.922e+03	+4.548e+03	+1.030e+04	+0.480
6.100	+5.307e+03	+5.712e+03	+1.051e+04	+0.518
6.200	+2.689e+03	+7.275e+03	+9.949e+03	+0.730
6.300	+4.688e+03	+4.893e+03	+1.009e+04	+0.511
6.400	+5.614e+03	+4.502e+03	+1.016e+04	+0.445
6.500	+5.953e+03	+4.399e+03	+1.050e+04	+0.425
6.600	+4.742e+03	+4.803e+03	+9.904e+03	+0.503
6.700	+3.553e+03	+4.637e+03	+9.287e+03	+0.566
6.800	+4.547e+03	+5.337e+03	+9.434e+03	+0.540
6.900	+4.052e+03	+4.382e+03	+9.591e+03	+0.520
7.000	+5.653e+03	+5.344e+03	+1.016e+04	+0.486
7.100	+4.812e+03	+4.337e+03	+9.795e+03	+0.474
7.200	+5.748e+03	+4.972e+03	+1.126e+04	+0.464
7.300	+4.455e+03	+5.918e+03	+1.002e+04	+0.571
7.400	+5.304e+03	+4.155e+03	+9.621e+03	+0.439
7.500	+4.115e+03	+4.378e+03	+1.086e+04	+0.515
7.600	+1.122e+03	+8.118e+03	+1.010e+04	+0.879
7.700	+1.855e+03	+7.835e+03	+1.021e+04	+0.809
7.800	+3.030e+03	+8.600e+03	+8.224e+03	+0.739
7.900	+1.215e+03	+9.700e+03	+1.052e+04	+0.889
8.000	+1.376e+03	+7.544e+03	+1.049e+04	+0.846
8.100	+7.901e+02	+9.174e+03	+9.191e+03	+0.921
8.200	+2.792e+03	+6.593e+03	+1.015e+04	+0.703
8.300	+1.297e+03	+7.716e+03	+1.010e+04	+0.856
8.400	+3.224e+03	+7.827e+03	+1.018e+04	+0.708
8.500	+1.597e+03	+8.479e+03	+1.019e+04	+0.842
8.600	+1.460e+03	+7.785e+03	+9.188e+03	+0.842
8.700	+2.051e+03	+8.108e+03	+1.013e+04	+0.798
8.800	+3.033e+03	+8.048e+03	+9.901e+03	+0.726
8.900	+1.500e+03	+7.464e+03	+1.041e+04	+0.833
9.000	+2.281e+03	+9.236e+03	+1.031e+04	+0.802
9.100	+1.763e+03	+8.093e+03	+9.329e+03	+0.821
9.200	+1.836e+03	+8.692e+03	+9.926e+03	+0.826
9.300	+2.246e+03	+8.153e+03	+1.131e+04	+0.784
9.400	+3.345e+02	+7.977e+03	+8.831e+03	+0.960
9.500	+3.925e+03	+5.243e+03	+9.385e+03	+0.572
9.600	+4.502e+03	+5.416e+03	+9.271e+03	+0.546
9.700	+5.415e+03	+4.534e+03	+1.069e+04	+0.456
9.800	+5.488e+03	+3.886e+03	+9.750e+03	+0.415
