%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+4.300e-01
2	2	+4.300e-01	+2.543e-01
3	3	+6.843e-01	+1.665e+00
1	1	+2.350e+00	+4.448e-01
2	2	+2.794e+00	+4.752e-01
3	3	+3.270e+00	+1.207e+00
2	2	+4.477e+00	+2.675e+00
3	3	+7.152e+00	+1.511e+00
2	2	+8.663e+00	+1.384e+00
3	3	+1.005e+01	+3.994e+00
2	2	+1.404e+01	+2.876e+00
3	3	+1.692e+01	+5.478e-01
2	2	+1.747e+01	+1.702e-01
3	3	+1.764e+01	+8.032e-01
2	2	+1.844e+01	+1.387e+00
3	3	+1.983e+01	+6.328e-01
2	2	+2.046e+01	+1.627e+00
3	3	+2.209e+01	+1.061e+00
2	2	+2.315e+01	+3.736e+00
3	3	+2.688e+01	+1.097e+00
2	2	+2.798e+01	+1.298e+00
3	3	+2.928e+01	+1.348e+00
2	2	+3.063e+01	+3.311e-01
1	1	+3.096e+01	+3.994e+00
2	2	+3.495e+01	+1.315e+00
3	3	+3.627e+01	+8.792e-01
2	2	+3.715e+01	+1.098e+00
3	3	+3.824e+01	+1.206e+00
2	2	+3.945e+01	+1.987e+00
3	3	+4.144e+01	+8.680e+00
1	1	+5.012e+01	+5.452e+00
2	2	+5.557e+01	+9.097e-02
3	3	+5.566e+01	+1.441e+00
2	2	+5.710e+01	+4.566e+00
3	3	+6.167e+01	+9.422e-02
0	0	+6.176e+01	+Inf
