%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+2.208e+00
2	2	+2.208e+00	+8.130e-01
3	3	+3.021e+00	+1.356e+01
2	2	+1.659e+01	+2.108e+00
3	3	+1.869e+01	+4.930e+00
2	2	+2.362e+01	+5.482e-01
3	3	+2.417e+01	+1.121e+01
2	2	+3.538e+01	+5.864e-01
1	1	+3.597e+01	+2.511e-01
2	2	+3.622e+01	+3.191e-01
1	1	+3.654e+01	+4.013e+00
2	2	+4.055e+01	+4.201e+00
3	3	+4.475e+01	+1.577e+00
2	2	+4.633e+01	+1.667e+00
3	3	+4.800e+01	+7.642e+00
2	2	+5.564e+01	+1.954e+00
3	3	+5.760e+01	+6.972e+00
2	2	+6.457e+01	+2.614e+00
1	1	+6.718e+01	+1.246e+00
2	2	+6.843e+01	+1.820e+00
3	3	+7.025e+01	+5.471e-01
1	1	+7.079e+01	+1.121e+00
2	2	+7.192e+01	+9.183e-02
3	3	+7.201e+01	+2.327e+00
2	2	+7.433e+01	+4.828e-01
1	1	+7.482e+01	+1.938e+00
2	2	+7.676e+01	+1.078e-01
1	1	+7.686e+01	+2.670e+00
2	2	+7.953e+01	+1.069e+00
3	3	+8.060e+01	+6.970e-01
2	2	+8.130e+01	+1.321e+00
3	3	+8.262e+01	+3.421e+00
2	2	+8.604e+01	+1.922e+00
1	1	+8.796e+01	+1.422e+00
2	2	+8.939e+01	+3.319e+00
1	1	+9.270e+01	+2.400e+00
2	2	+9.511e+01	+8.506e-01
3	3	+9.596e+01	+2.555e-01
2	2	+9.621e+01	+7.316e-02
3	3	+9.628e+01	+5.016e+00
2	2	+1.013e+02	+3.612e-01
3	3	+1.017e+02	+7.276e-01
2	2	+1.024e+02	+6.370e-01
3	3	+1.030e+02	+7.332e-01
2	2	+1.038e+02	+1.740e+00
3	3	+1.055e+02	+5.279e+00
2	2	+1.108e+02	+7.442e-01
3	3	+1.115e+02	+8.630e-02
2	2	+1.116e+02	+7.278e-01
3	3	+1.123e+02	+5.559e+00
2	2	+1.179e+02	+4.556e-01
3	3	+1.184e+02	+7.359e-01
2	2	+1.191e+02	+4.527e-01
3	3	+1.195e+02	+4.784e+00
2	2	+1.243e+02	+3.092e+00
3	3	+1.274e+02	+2.765e+00
2	2	+1.302e+02	+3.186e+00
3	3	+1.334e+02	+6.621e+00
2	2	+1.400e+02	+1.248e+00
3	3	+1.412e+02	+2.334e+00
2	2	+1.436e+02	+1.357e+00
3	3	+1.449e+02	+6.971e+00
2	2	+1.519e+02	+1.698e+00
3	3	+1.536e+02	+5.477e+00
2	2	+1.591e+02	+1.468e-01
3	3	+1.592e+02	+2.204e+00
2	2	+1.614e+02	+8.771e-01
1	1	+1.623e+02	+8.272e-01
0	0	+1.631e+02	+Inf
