%state	deg. state	t_start (s)	t_dwell (s)
1	1	+0.000e+00	+3.487e-01
2	2	+3.487e-01	+2.966e+00
3	3	+3.315e+00	+1.199e+00
1	1	+4.514e+00	+4.293e+00
2	2	+8.807e+00	+4.064e+00
1	1	+1.287e+01	+4.033e+00
2	2	+1.690e+01	+9.256e-01
1	1	+1.783e+01	+6.932e+00
2	2	+2.476e+01	+1.658e+00
3	3	+2.642e+01	+4.892e-01
2	2	+2.691e+01	+5.300e-01
3	3	+2.744e+01	+4.689e+00
2	2	+3.213e+01	+2.800e-01
3	3	+3.241e+01	+5.840e+00
2	2	+3.825e+01	+1.768e+00
3	3	+4.002e+01	+7.613e+00
2	2	+4.763e+01	+9.153e-01
3	3	+4.854e+01	+4.713e-02
2	2	+4.859e+01	+1.932e-01
1	1	+4.878e+01	+3.368e+00
2	2	+5.215e+01	+3.785e+00
3	3	+5.594e+01	+9.367e-01
2	2	+5.687e+01	+1.094e+00
1	1	+5.797e+01	+1.078e+00
2	2	+5.905e+01	+6.595e+00
3	3	+6.564e+01	+2.861e-01
2	2	+6.593e+01	+4.674e+00
1	1	+7.060e+01	+3.789e+00
2	2	+7.439e+01	+9.132e-02
1	1	+7.448e+01	+8.576e-01
2	2	+7.534e+01	+2.071e-01
3	3	+7.555e+01	+1.272e+00
2	2	+7.682e+01	+4.020e-01
3	3	+7.722e+01	+8.656e-01
2	2	+7.809e+01	+2.433e+00
3	3	+8.052e+01	+5.718e+00
2	2	+8.624e+01	+1.523e+00
3	3	+8.776e+01	+1.429e+00
2	2	+8.919e+01	+2.155e-01
3	3	+8.940e+01	+1.328e+00
2	2	+9.073e+01	+5.194e+00
3	3	+9.593e+01	+4.075e-01
2	2	+9.633e+01	+1.405e+00
3	3	+9.774e+01	+1.293e+00
1	1	+9.903e+01	+6.860e-01
2	2	+9.972e+01	+5.166e+00
3	3	+1.049e+02	+1.437e-01
2	2	+1.050e+02	+7.797e-02
3	3	+1.051e+02	+8.716e-01
2	2	+1.060e+02	+2.756e+00
3	3	+1.087e+02	+5.881e-01
2	2	+1.093e+02	+2.004e+00
3	3	+1.113e+02	+4.646e+00
2	2	+1.160e+02	+1.353e+00
3	3	+1.173e+02	+8.997e-01
2	2	+1.182e+02	+2.154e+00
1	1	+1.204e+02	+4.975e+00
2	2	+1.254e+02	+5.460e-01
3	3	+1.259e+02	+3.940e+00
2	2	+1.298e+02	+4.684e-01
1	1	+1.303e+02	+1.709e+00
2	2	+1.320e+02	+1.459e+00
3	3	+1.335e+02	+8.036e-02
2	2	+1.336e+02	+1.639e+00
3	3	+1.352e+02	+1.089e+00
2	2	+1.363e+02	+1.583e+00
3	3	+1.379e+02	+2.984e+00
2	2	+1.408e+02	+9.454e-01
1	1	+1.418e+02	+3.660e+00
2	2	+1.455e+02	+1.640e-01
3	3	+1.456e+02	+6.011e+00
1	1	+1.516e+02	+3.172e+00
2	2	+1.548e+02	+3.860e-01
3	3	+1.552e+02	+2.186e+00
1	1	+1.574e+02	+2.954e+00
2	2	+1.603e+02	+1.528e-01
3	3	+1.605e+02	+4.743e+00
2	2	+1.652e+02	+2.986e+00
3	3	+1.682e+02	+3.582e-01
2	2	+1.686e+02	+5.630e-01
3	3	+1.691e+02	+8.212e-02
1	1	+1.692e+02	+8.582e-01
2	2	+1.701e+02	+2.340e+00
3	3	+1.724e+02	+4.064e+00
2	2	+1.765e+02	+7.345e-01
3	3	+1.772e+02	+5.681e+00
1	1	+1.829e+02	+6.665e+00
2	2	+1.896e+02	+1.010e+00
3	3	+1.906e+02	+3.488e-01
1	1	+1.909e+02	+2.030e+00
2	2	+1.929e+02	+7.834e+00
3	3	+2.008e+02	+1.270e+00
2	2	+2.020e+02	+1.273e-01
3	3	+2.022e+02	+3.053e-01
2	2	+2.025e+02	+7.644e-01
1	1	+2.032e+02	+4.557e-01
2	2	+2.037e+02	+4.713e-01
3	3	+2.042e+02	+1.282e+00
2	2	+2.055e+02	+9.856e-02
3	3	+2.056e+02	+5.401e-01
2	2	+2.061e+02	+5.112e-01
1	1	+2.066e+02	+4.439e-01
2	2	+2.070e+02	+4.143e+00
1	1	+2.112e+02	+9.390e-01
2	2	+2.121e+02	+1.211e+00
3	3	+2.133e+02	+4.161e+00
2	2	+2.175e+02	+6.540e-01
3	3	+2.182e+02	+9.995e-01
2	2	+2.192e+02	+6.436e-01
3	3	+2.198e+02	+7.872e-01
2	2	+2.206e+02	+2.675e-01
3	3	+2.209e+02	+7.149e-01
2	2	+2.216e+02	+1.437e-01
3	3	+2.217e+02	+1.210e+00
2	2	+2.229e+02	+7.339e-01
3	3	+2.237e+02	+8.515e-01
1	1	+2.245e+02	+1.235e+00
2	2	+2.257e+02	+1.884e+00
3	3	+2.276e+02	+3.690e-01
2	2	+2.280e+02	+6.444e-01
3	3	+2.286e+02	+1.899e+01
2	2	+2.476e+02	+1.491e+00
3	3	+2.491e+02	+5.703e+00
2	2	+2.548e+02	+9.239e-01
1	1	+2.557e+02	+5.001e-01
2	2	+2.562e+02	+6.868e+00
3	3	+2.631e+02	+4.850e-01
2	2	+2.636e+02	+2.808e-01
3	3	+2.639e+02	+1.683e+00
2	2	+2.656e+02	+2.469e+00
3	3	+2.680e+02	+2.261e+00
2	2	+2.703e+02	+6.690e+00
3	3	+2.770e+02	+6.186e-01
2	2	+2.776e+02	+2.146e+00
1	1	+2.797e+02	+4.729e+00
0	0	+2.845e+02	+Inf
