%state	deg. state	t_start (s)	t_dwell (s)
3	3	+0.000e+00	+4.741e+00
2	2	+4.741e+00	+1.128e-01
3	3	+4.854e+00	+7.893e+00
2	2	+1.275e+01	+2.174e+00
3	3	+1.492e+01	+5.562e+00
2	2	+2.048e+01	+1.507e+00
1	1	+2.199e+01	+2.538e+00
2	2	+2.453e+01	+7.151e-01
3	3	+2.524e+01	+1.382e-01
2	2	+2.538e+01	+1.061e+00
3	3	+2.644e+01	+3.156e+00
1	1	+2.960e+01	+4.169e+00
2	2	+3.377e+01	+3.541e+00
3	3	+3.731e+01	+1.677e+00
2	2	+3.899e+01	+7.254e-02
1	1	+3.906e+01	+5.176e-01
2	2	+3.958e+01	+1.651e+00
3	3	+4.123e+01	+3.374e+00
2	2	+4.460e+01	+3.943e-01
3	3	+4.500e+01	+4.192e-02
2	2	+4.504e+01	+1.285e+00
3	3	+4.632e+01	+2.623e+00
2	2	+4.895e+01	+1.828e+00
3	3	+5.077e+01	+6.491e-01
2	2	+5.142e+01	+1.951e+00
3	3	+5.338e+01	+3.206e+00
2	2	+5.658e+01	+3.233e-01
3	3	+5.690e+01	+2.206e+00
2	2	+5.911e+01	+2.486e+00
3	3	+6.160e+01	+2.809e+00
2	2	+6.440e+01	+5.495e-01
0	0	+6.495e+01	+Inf
