%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+4.367e+03	+3.298e+03	+1.111e+04	+0.430
0.100	+6.088e+03	+4.545e+03	+1.007e+04	+0.427
0.200	+3.753e+03	+4.922e+03	+1.102e+04	+0.567
0.300	+4.770e+03	+5.020e+03	+9.551e+03	+0.513
0.400	+4.522e+03	+3.833e+03	+1.026e+04	+0.459
0.500	+4.542e+03	+6.922e+03	+9.851e+03	+0.604
0.600	+5.973e+03	+4.443e+03	+1.134e+04	+0.427
0.700	+3.223e+03	+5.128e+03	+9.847e+03	+0.614
0.800	+5.049e+03	+4.108e+03	+1.040e+04	+0.449
0.900	+4.284e+03	+5.076e+03	+8.407e+03	+0.542
1.000	+4.676e+03	+4.867e+03	+9.503e+03	+0.510
1.100	+4.354e+03	+4.526e+03	+1.000e+04	+0.510
1.200	+5.016e+03	+4.751e+03	+1.081e+04	+0.486
1.300	+3.954e+03	+4.784e+03	+1.027e+04	+0.548
1.400	+4.587e+03	+5.674e+03	+9.493e+03	+0.553
1.500	+4.351e+03	+4.685e+03	+1.051e+04	+0.519
1.600	+4.825e+03	+4.882e+03	+9.319e+03	+0.503
1.700	+4.641e+03	+5.548e+03	+9.312e+03	+0.544
1.800	+5.203e+03	+5.289e+03	+1.009e+04	+0.504
1.900	+5.423e+03	+4.717e+03	+9.542e+03	+0.465
2.000	+8.013e+03	+2.924e+03	+9.234e+03	+0.267
2.100	+7.813e+03	+2.392e+03	+9.807e+03	+0.234
2.200	+8.762e+03	+2.090e+03	+1.026e+04	+0.193
2.300	+8.257e+03	+3.539e+03	+1.076e+04	+0.300
2.400	+7.490e+03	+2.618e+03	+9.513e+03	+0.259
2.500	+7.897e+03	+2.043e+03	+9.804e+03	+0.205
2.600	+7.921e+03	+1.754e+03	+1.107e+04	+0.181
2.700	+7.375e+03	+2.247e+03	+1.100e+04	+0.234
2.800	+7.593e+03	+1.528e+03	+1.105e+04	+0.168
2.900	+7.692e+03	+2.304e+03	+1.065e+04	+0.230
3.000	+7.621e+03	+3.389e+03	+8.268e+03	+0.308
3.100	+8.038e+03	+2.814e+03	+1.005e+04	+0.259
3.200	+9.527e+03	+2.991e+03	+9.912e+03	+0.239
3.300	+7.028e+03	+1.388e+03	+1.145e+04	+0.165
3.400	+7.620e+03	+3.394e+03	+8.899e+03	+0.308
3.500	+7.484e+03	+3.256e+03	+9.680e+03	+0.303
3.600	+7.948e+03	+2.482e+03	+1.055e+04	+0.238
3.700	+7.022e+03	+2.990e+03	+1.028e+04	+0.299
3.800	+6.993e+03	+3.009e+03	+1.077e+04	+0.301
3.900	+6.951e+03	+2.457e+03	+1.051e+04	+0.261
4.000	+6.940e+03	+2.443e+03	+9.552e+03	+0.260
4.100	+7.245e+03	+1.057e+03	+1.014e+04	+0.127
4.200	+6.268e+03	+3.584e+03	+9.859e+03	+0.364
4.300	+6.855e+03	+2.578e+03	+9.477e+03	+0.273
4.400	+7.881e+03	+1.570e+03	+1.085e+04	+0.166
4.500	+7.165e+03	+3.304e+03	+1.032e+04	+0.316
4.600	+7.107e+03	+2.746e+03	+1.079e+04	+0.279
4.700	+8.003e+03	+2.873e+03	+1.009e+04	+0.264
4.800	+5.815e+03	+3.127e+03	+1.009e+04	+0.350
4.900	+7.378e+03	+2.105e+03	+9.876e+03	+0.222
5.000	+7.791e+03	+2.720e+03	+1.008e+04	+0.259
5.100	+7.671e+03	+2.178e+03	+1.112e+04	+0.221
5.200	+7.356e+03	+2.161e+03	+1.104e+04	+0.227
5.300	+7.500e+03	+3.436e+03	+9.835e+03	+0.314
5.400	+8.000e+03	+2.016e+03	+9.342e+03	+0.201
5.500	+9.047e+03	+1.420e+03	+7.967e+03	+0.136
5.600	+7.546e+03	+2.961e+03	+9.155e+03	+0.282
5.700	+7.407e+03	+2.348e+03	+9.463e+03	+0.241
5.800	+6.699e+03	+3.212e+03	+1.052e+04	+0.324
5.900	+8.297e+03	+2.678e+03	+9.640e+03	+0.244
6.000	+6.346e+03	+1.668e+03	+9.321e+03	+0.208
6.100	+7.124e+03	+2.227e+03	+9.911e+03	+0.238
6.200	+7.200e+03	+1.799e+03	+1.017e+04	+0.200
6.300	+7.783e+03	+2.567e+03	+8.627e+03	+0.248
6.400	+8.235e+03	+2.578e+03	+9.203e+03	+0.238
6.500	+7.014e+03	+2.175e+03	+1.050e+04	+0.237
6.600	+7.616e+03	+1.870e+03	+9.350e+03	+0.197
