%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+8.133e+03	+1.928e+03	+1.044e+04	+0.192
0.100	+8.413e+03	+2.691e+03	+1.044e+04	+0.242
0.200	+7.556e+03	+2.185e+03	+8.850e+03	+0.224
0.300	+6.313e+03	+2.080e+03	+9.897e+03	+0.248
0.400	+7.148e+03	+2.839e+03	+1.037e+04	+0.284
0.500	+8.027e+03	+1.859e+03	+9.622e+03	+0.188
0.600	+6.390e+03	+2.269e+03	+9.853e+03	+0.262
0.700	+7.193e+03	+3.371e+03	+1.192e+04	+0.319
0.800	+4.561e+03	+6.500e+03	+1.033e+04	+0.588
0.900	+1.580e+03	+7.470e+03	+1.001e+04	+0.825
1.000	+2.790e+03	+9.111e+03	+1.183e+04	+0.766
1.100	+1.109e+03	+8.273e+03	+9.840e+03	+0.882
1.200	+2.474e+03	+7.543e+03	+1.143e+04	+0.753
1.300	+1.537e+03	+7.913e+03	+9.500e+03	+0.837
1.400	+1.823e+03	+7.921e+03	+9.659e+03	+0.813
1.500	+3.356e+03	+9.397e+03	+1.059e+04	+0.737
1.600	+7.004e+02	+6.424e+03	+1.028e+04	+0.902
1.700	+1.437e+03	+6.925e+03	+9.092e+03	+0.828
1.800	+3.410e+03	+7.862e+03	+1.126e+04	+0.697
1.900	+1.963e+03	+7.557e+03	+1.006e+04	+0.794
2.000	+1.482e+03	+8.161e+03	+9.613e+03	+0.846
2.100	+2.778e+03	+7.755e+03	+9.642e+03	+0.736
2.200	+2.183e+03	+5.939e+03	+9.984e+03	+0.731
2.300	+1.545e+03	+7.364e+03	+1.087e+04	+0.827
2.400	+2.148e+03	+7.983e+03	+9.926e+03	+0.788
2.500	+2.365e+03	+8.391e+03	+1.069e+04	+0.780
2.600	+2.382e+03	+6.909e+03	+1.008e+04	+0.744
2.700	+1.552e+03	+9.232e+03	+1.034e+04	+0.856
2.800	+3.604e+03	+6.410e+03	+1.008e+04	+0.640
2.900	+5.025e+03	+5.786e+03	+1.031e+04	+0.535
3.000	+4.389e+03	+5.163e+03	+9.842e+03	+0.541
3.100	+5.096e+03	+4.486e+03	+1.070e+04	+0.468
3.200	+4.645e+03	+5.030e+03	+1.108e+04	+0.520
3.300	+4.304e+03	+5.097e+03	+9.578e+03	+0.542
3.400	+4.188e+03	+5.886e+03	+9.606e+03	+0.584
3.500	+3.907e+03	+5.212e+03	+1.066e+04	+0.572
3.600	+4.915e+03	+4.890e+03	+9.583e+03	+0.499
3.700	+5.046e+03	+4.968e+03	+9.840e+03	+0.496
3.800	+4.207e+03	+5.135e+03	+1.100e+04	+0.550
3.900	+5.589e+03	+5.185e+03	+9.362e+03	+0.481
4.000	+5.629e+03	+5.201e+03	+9.792e+03	+0.480
4.100	+5.347e+03	+5.918e+03	+1.054e+04	+0.525
4.200	+4.429e+03	+3.953e+03	+9.237e+03	+0.472
4.300	+4.533e+03	+5.822e+03	+1.001e+04	+0.562
4.400	+3.302e+03	+5.255e+03	+9.861e+03	+0.614
4.500	+5.315e+03	+4.997e+03	+1.021e+04	+0.485
4.600	+4.830e+03	+4.674e+03	+1.075e+04	+0.492
4.700	+4.299e+03	+5.052e+03	+9.508e+03	+0.540
4.800	+4.895e+03	+4.928e+03	+1.087e+04	+0.502
4.900	+4.608e+03	+5.175e+03	+9.354e+03	+0.529
5.000	+4.727e+03	+4.725e+03	+9.063e+03	+0.500
5.100	+4.527e+03	+4.391e+03	+8.838e+03	+0.492
5.200	+6.204e+03	+5.171e+03	+1.075e+04	+0.455
5.300	+7.532e+03	+2.529e+03	+9.832e+03	+0.251
5.400	+7.889e+03	+3.939e+03	+1.002e+04	+0.333
5.500	+7.670e+03	+1.987e+03	+1.117e+04	+0.206
5.600	+8.098e+03	+3.922e+03	+1.021e+04	+0.326
5.700	+7.392e+03	+2.695e+03	+9.715e+03	+0.267
5.800	+8.616e+03	+3.075e+03	+9.161e+03	+0.263
5.900	+7.290e+03	+2.846e+03	+9.532e+03	+0.281
6.000	+8.725e+03	+3.906e+03	+1.046e+04	+0.309
6.100	+7.260e+03	+1.712e+03	+8.442e+03	+0.191
6.200	+7.046e+03	+1.638e+03	+9.324e+03	+0.189
6.300	+8.406e+03	+1.897e+03	+9.675e+03	+0.184
6.400	+6.586e+03	+3.640e+03	+9.748e+03	+0.356
6.500	+6.347e+03	+4.321e+03	+1.115e+04	+0.405
6.600	+4.842e+03	+5.699e+03	+1.022e+04	+0.541
6.700	+5.085e+03	+4.422e+03	+9.007e+03	+0.465
6.800	+3.713e+03	+5.435e+03	+9.211e+03	+0.594
6.900	+4.432e+03	+4.169e+03	+9.468e+03	+0.485
7.000	+5.928e+03	+4.309e+03	+9.461e+03	+0.421
7.100	+3.781e+03	+5.616e+03	+1.070e+04	+0.598
7.200	+4.994e+03	+4.823e+03	+9.461e+03	+0.491
7.300	+5.912e+03	+4.141e+03	+1.080e+04	+0.412
7.400	+7.207e+03	+2.378e+03	+9.679e+03	+0.248
7.500	+6.976e+03	+2.514e+03	+1.132e+04	+0.265
7.600	+7.239e+03	+3.099e+03	+9.687e+03	+0.300
7.700	+7.677e+03	+1.952e+03	+9.818e+03	+0.203
7.800	+8.373e+03	+3.514e+03	+1.032e+04	+0.296
