%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+3.386e+03	+5.350e+03	+1.099e+04	+0.612
0.100	+5.030e+03	+5.662e+03	+1.009e+04	+0.530
0.200	+5.948e+03	+5.249e+03	+8.154e+03	+0.469
0.300	+6.100e+03	+5.916e+03	+1.028e+04	+0.492
0.400	+6.292e+03	+5.467e+03	+8.480e+03	+0.465
0.500	+5.337e+03	+4.675e+03	+1.014e+04	+0.467
0.600	+5.328e+03	+6.043e+03	+9.261e+03	+0.531
0.700	+4.118e+03	+4.817e+03	+1.008e+04	+0.539
0.800	+5.201e+03	+5.106e+03	+9.744e+03	+0.495
0.900	+5.340e+03	+4.199e+03	+1.064e+04	+0.440
1.000	+6.073e+03	+5.598e+03	+1.059e+04	+0.480
1.100	+5.422e+03	+5.136e+03	+1.073e+04	+0.486
1.200	+4.587e+03	+4.604e+03	+9.244e+03	+0.501
1.300	+5.678e+03	+5.001e+03	+1.006e+04	+0.468
1.400	+6.309e+03	+5.025e+03	+1.099e+04	+0.443
1.500	+4.799e+03	+6.201e+03	+9.305e+03	+0.564
1.600	+5.019e+03	+5.590e+03	+9.530e+03	+0.527
1.700	+5.712e+03	+5.445e+03	+9.858e+03	+0.488
1.800	+5.688e+03	+5.015e+03	+1.126e+04	+0.469
1.900	+5.134e+03	+5.662e+03	+9.336e+03	+0.524
2.000	+4.953e+03	+4.619e+03	+8.438e+03	+0.483
2.100	+6.857e+03	+3.817e+03	+1.002e+04	+0.358
2.200	+6.897e+03	+1.732e+03	+1.000e+04	+0.201
2.300	+7.348e+03	+1.606e+03	+9.880e+03	+0.179
2.400	+6.907e+03	+2.731e+03	+1.089e+04	+0.283
2.500	+6.796e+03	+3.082e+03	+9.788e+03	+0.312
2.600	+6.930e+03	+2.695e+03	+1.031e+04	+0.280
2.700	+6.887e+03	+2.331e+03	+9.785e+03	+0.253
2.800	+8.530e+03	+2.532e+03	+1.004e+04	+0.229
2.900	+7.859e+03	+1.429e+03	+9.401e+03	+0.154
3.000	+6.237e+03	+2.386e+03	+1.093e+04	+0.277
3.100	+8.529e+03	+2.070e+03	+1.010e+04	+0.195
3.200	+7.572e+03	+2.576e+03	+1.071e+04	+0.254
3.300	+8.306e+03	+3.515e+03	+1.105e+04	+0.297
3.400	+7.271e+03	+3.078e+03	+9.818e+03	+0.297
3.500	+7.359e+03	+3.357e+03	+1.038e+04	+0.313
3.600	+7.696e+03	+2.646e+03	+9.846e+03	+0.256
3.700	+6.658e+03	+1.738e+03	+9.870e+03	+0.207
3.800	+7.687e+03	+1.434e+03	+9.149e+03	+0.157
3.900	+8.257e+03	+3.210e+03	+1.047e+04	+0.280
4.000	+7.636e+03	+1.772e+03	+1.037e+04	+0.188
4.100	+7.961e+03	+2.766e+03	+1.044e+04	+0.258
4.200	+8.434e+03	+3.286e+03	+1.059e+04	+0.280
4.300	+8.254e+03	+2.091e+03	+1.020e+04	+0.202
4.400	+7.942e+03	+1.939e+03	+9.340e+03	+0.196
4.500	+7.471e+03	+1.324e+03	+1.063e+04	+0.150
4.600	+7.797e+03	+2.590e+03	+9.278e+03	+0.249
4.700	+7.836e+03	+3.427e+03	+8.775e+03	+0.304
4.800	+6.694e+03	+2.648e+03	+9.750e+03	+0.283
4.900	+7.215e+03	+1.019e+03	+9.895e+03	+0.124
5.000	+8.755e+03	+2.533e+03	+8.515e+03	+0.224
5.100	+8.527e+03	+2.882e+03	+1.095e+04	+0.253
5.200	+6.210e+03	+2.560e+03	+1.077e+04	+0.292
5.300	+7.703e+03	+2.335e+03	+9.719e+03	+0.233
5.400	+8.303e+03	+2.147e+03	+1.057e+04	+0.205
5.500	+8.412e+03	+1.052e+03	+1.006e+04	+0.111
5.600	+6.381e+03	+2.114e+03	+1.055e+04	+0.249
5.700	+8.552e+03	+2.886e+03	+1.100e+04	+0.252
5.800	+8.319e+03	+3.719e+03	+8.923e+03	+0.309
5.900	+7.446e+03	+2.887e+03	+9.396e+03	+0.279
6.000	+7.275e+03	+1.625e+03	+1.125e+04	+0.183
6.100	+7.477e+03	+2.594e+03	+1.014e+04	+0.258
6.200	+8.307e+03	+2.432e+03	+1.114e+04	+0.226
6.300	+6.351e+03	+2.084e+03	+9.426e+03	+0.247
6.400	+8.114e+03	+3.376e+03	+9.459e+03	+0.294
6.500	+8.486e+03	+2.275e+03	+1.026e+04	+0.211
6.600	+8.293e+03	+2.842e+03	+9.632e+03	+0.255
6.700	+7.659e+03	+2.100e+03	+9.930e+03	+0.215
6.800	+7.969e+03	+3.043e+03	+9.402e+03	+0.276
6.900	+6.570e+03	+2.799e+03	+8.571e+03	+0.299
7.000	+8.566e+03	+3.317e+03	+1.013e+04	+0.279
7.100	+7.508e+03	+2.013e+03	+1.073e+04	+0.211
7.200	+8.784e+03	+2.251e+03	+8.629e+03	+0.204
7.300	+8.036e+03	+2.531e+03	+1.065e+04	+0.239
7.400	+6.835e+03	+2.688e+03	+9.885e+03	+0.282
7.500	+7.723e+03	+2.507e+03	+9.980e+03	+0.245
7.600	+6.459e+03	+2.677e+03	+1.135e+04	+0.293
7.700	+7.297e+03	+2.548e+03	+9.972e+03	+0.259
7.800	+7.914e+03	+3.394e+03	+1.016e+04	+0.300
7.900	+7.497e+03	+2.313e+03	+1.035e+04	+0.236
8.000	+7.319e+03	-1.054e+02	+1.087e+04	-0.015
8.100	+8.329e+03	+2.788e+03	+9.613e+03	+0.251
8.200	+6.035e+03	+4.411e+03	+1.047e+04	+0.422
8.300	+1.858e+03	+7.123e+03	+1.045e+04	+0.793
8.400	+2.029e+03	+7.824e+03	+1.012e+04	+0.794
8.500	+2.552e+03	+8.209e+03	+1.093e+04	+0.763
8.600	+1.112e+03	+8.264e+03	+1.037e+04	+0.881
8.700	+1.130e+03	+7.564e+03	+1.036e+04	+0.870
8.800	+2.677e+03	+7.851e+03	+1.007e+04	+0.746
8.900	+1.026e+03	+8.243e+03	+1.007e+04	+0.889
9.000	+2.296e+03	+7.960e+03	+9.624e+03	+0.776
9.100	+2.684e+03	+9.364e+03	+1.089e+04	+0.777
9.200	+2.016e+03	+8.389e+03	+9.931e+03	+0.806
9.300	+1.403e+03	+7.456e+03	+9.463e+03	+0.842
9.400	+1.244e+03	+8.471e+03	+9.154e+03	+0.872
9.500	+1.853e+03	+8.884e+03	+9.005e+03	+0.827
9.600	+2.215e+03	+8.842e+03	+1.021e+04	+0.800
9.700	+1.004e+03	+8.973e+03	+9.693e+03	+0.899
9.800	+2.650e+03	+8.163e+03	+8.759e+03	+0.755
9.900	+5.817e+02	+7.352e+03	+1.086e+04	+0.927
10.000	+1.824e+03	+7.667e+03	+1.102e+04	+0.808
10.100	+3.409e+03	+7.996e+03	+9.134e+03	+0.701
10.200	+2.469e+03	+8.127e+03	+9.111e+03	+0.767
10.300	+2.029e+03	+8.633e+03	+9.836e+03	+0.810
10.400	+1.867e+03	+7.787e+03	+8.917e+03	+0.807
10.500	+9.482e+02	+7.543e+03	+9.717e+03	+0.888
10.600	+2.542e+03	+7.825e+03	+1.044e+04	+0.755
10.700	+7.188e+02	+6.561e+03	+9.699e+03	+0.901
10.800	+2.043e+03	+8.174e+03	+1.005e+04	+0.800
10.900	+2.083e+03	+7.132e+03	+1.034e+04	+0.774
11.000	+1.537e+03	+8.202e+03	+1.061e+04	+0.842
11.100	+1.782e+03	+8.181e+03	+9.828e+03	+0.821
11.200	+3.136e+03	+7.346e+03	+8.210e+03	+0.701
11.300	+3.124e+03	+7.141e+03	+9.426e+03	+0.696
11.400	+1.744e+03	+8.229e+03	+1.057e+04	+0.825
11.500	+2.350e+03	+8.341e+03	+1.090e+04	+0.780
11.600	+1.796e+03	+7.799e+03	+9.622e+03	+0.813
11.700	+1.990e+03	+7.019e+03	+1.005e+04	+0.779
11.800	+2.419e+03	+8.892e+03	+9.551e+03	+0.786
11.900	+2.458e+03	+8.430e+03	+9.109e+03	+0.774
12.000	+1.552e+03	+8.912e+03	+9.743e+03	+0.852
12.100	+1.687e+03	+8.225e+03	+9.415e+03	+0.830
12.200	+6.196e+03	+4.047e+03	+9.802e+03	+0.395
12.300	+6.230e+03	+1.267e+03	+9.573e+03	+0.169
12.400	+5.320e+03	+3.408e+03	+1.071e+04	+0.390
12.500	+7.856e+03	+1.808e+03	+1.088e+04	+0.187
12.600	+7.644e+03	+3.426e+03	+1.069e+04	+0.309
12.700	+6.806e+03	+1.969e+03	+1.004e+04	+0.224
12.800	+8.512e+03	+3.901e+03	+9.957e+03	+0.314
12.900	+7.437e+03	+2.409e+03	+1.035e+04	+0.245
13.000	+7.539e+03	+3.129e+03	+9.776e+03	+0.293
13.100	+6.055e+03	+2.071e+03	+1.035e+04	+0.255
13.200	+8.183e+03	+1.959e+03	+1.049e+04	+0.193
13.300	+7.839e+03	+2.513e+03	+1.022e+04	+0.243
13.400	+7.130e+03	+2.071e+03	+1.090e+04	+0.225
13.500	+6.961e+03	+2.189e+03	+1.110e+04	+0.239
13.600	+7.693e+03	+3.154e+03	+9.164e+03	+0.291
13.700	+7.828e+03	+4.117e+03	+9.210e+03	+0.345
