%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+5.239e+03	+4.970e+03	+1.021e+04	+0.487
0.100	+4.881e+03	+5.879e+03	+9.909e+03	+0.546
0.200	+4.474e+03	+4.564e+03	+9.390e+03	+0.505
0.300	+5.219e+03	+5.992e+03	+9.203e+03	+0.534
0.400	+5.266e+03	+4.299e+03	+1.048e+04	+0.449
0.500	+4.579e+03	+3.467e+03	+9.807e+03	+0.431
0.600	+5.319e+03	+4.441e+03	+9.916e+03	+0.455
0.700	+5.841e+03	+4.225e+03	+1.035e+04	+0.420
0.800	+4.133e+03	+4.339e+03	+1.047e+04	+0.512
0.900	+5.018e+03	+6.519e+03	+9.978e+03	+0.565
1.000	+4.603e+03	+4.190e+03	+1.008e+04	+0.477
1.100	+5.779e+03	+4.651e+03	+1.014e+04	+0.446
1.200	+8.097e+03	+3.464e+03	+9.756e+03	+0.300
1.300	+6.913e+03	+2.777e+03	+1.031e+04	+0.287
1.400	+8.195e+03	+1.959e+03	+9.601e+03	+0.193
1.500	+8.538e+03	+1.675e+03	+9.540e+03	+0.164
1.600	+8.362e+03	+2.555e+03	+9.817e+03	+0.234
1.700	+8.142e+03	+4.230e+03	+8.642e+03	+0.342
1.800	+7.090e+03	+2.306e+03	+8.761e+03	+0.245
1.900	+8.592e+03	+3.581e+03	+9.507e+03	+0.294
2.000	+9.039e+03	+4.057e+03	+9.688e+03	+0.310
2.100	+7.644e+03	+2.357e+03	+9.598e+03	+0.236
2.200	+7.003e+03	+2.843e+03	+9.912e+03	+0.289
2.300	+7.610e+03	+1.718e+03	+8.980e+03	+0.184
2.400	+8.068e+03	+2.524e+03	+1.006e+04	+0.238
2.500	+8.618e+03	+2.376e+03	+9.766e+03	+0.216
2.600	+8.342e+03	+2.943e+03	+9.735e+03	+0.261
2.700	+8.308e+03	+2.842e+03	+1.066e+04	+0.255
2.800	+8.459e+03	+7.285e+02	+1.047e+04	+0.079
2.900	+7.300e+03	+2.632e+03	+9.955e+03	+0.265
3.000	+6.691e+03	+2.490e+03	+1.042e+04	+0.271
3.100	+7.771e+03	+2.065e+03	+1.102e+04	+0.210
3.200	+7.652e+03	+3.477e+03	+1.035e+04	+0.312
3.300	+7.238e+03	+2.072e+03	+1.068e+04	+0.223
3.400	+7.243e+03	+1.953e+03	+1.110e+04	+0.212
3.500	+7.339e+03	+3.028e+03	+1.054e+04	+0.292
3.600	+8.085e+03	+2.032e+03	+9.635e+03	+0.201
3.700	+6.558e+03	+2.553e+03	+1.058e+04	+0.280
3.800	+6.063e+03	+1.839e+03	+9.167e+03	+0.233
3.900	+8.593e+03	+1.353e+03	+9.744e+03	+0.136
4.000	+7.235e+03	+2.469e+03	+1.086e+04	+0.254
4.100	+7.426e+03	+3.169e+03	+1.017e+04	+0.299
4.200	+6.459e+03	+3.582e+03	+9.123e+03	+0.357
4.300	+7.190e+03	+1.930e+03	+9.271e+03	+0.212
4.400	+7.392e+03	+2.191e+03	+1.016e+04	+0.229
4.500	+8.057e+03	+3.435e+03	+9.561e+03	+0.299
