%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+3.378e+03	+8.842e+03	+9.663e+03	+0.724
0.100	+2.486e+03	+8.137e+03	+1.047e+04	+0.766
0.200	+3.086e+03	+8.433e+03	+9.955e+03	+0.732
0.300	+3.504e+03	+7.592e+03	+9.893e+03	+0.684
0.400	+2.499e+03	+7.037e+03	+1.017e+04	+0.738
0.500	+2.368e+03	+7.614e+03	+9.935e+03	+0.763
0.600	+1.951e+03	+6.856e+03	+9.623e+03	+0.778
0.700	+2.206e+03	+8.934e+03	+9.743e+03	+0.802
0.800	+1.246e+03	+1.023e+04	+9.760e+03	+0.891
0.900	+1.172e+03	+8.590e+03	+1.126e+04	+0.880
1.000	+1.605e+03	+7.799e+03	+8.808e+03	+0.829
1.100	+1.837e+03	+7.514e+03	+9.684e+03	+0.804
1.200	+3.253e+03	+8.578e+03	+9.305e+03	+0.725
1.300	+2.579e+03	+8.812e+03	+1.076e+04	+0.774
1.400	+2.270e+03	+8.321e+03	+1.077e+04	+0.786
1.500	+1.974e+03	+7.282e+03	+1.003e+04	+0.787
1.600	+2.802e+03	+7.825e+03	+1.059e+04	+0.736
1.700	+3.378e+03	+9.454e+03	+9.199e+03	+0.737
1.800	+2.337e+03	+9.255e+03	+9.342e+03	+0.798
1.900	+2.032e+03	+7.675e+03	+9.721e+03	+0.791
2.000	+1.399e+03	+7.928e+03	+9.776e+03	+0.850
2.100	+3.552e+03	+9.171e+03	+1.055e+04	+0.721
2.200	+2.055e+03	+7.867e+03	+9.450e+03	+0.793
2.300	+2.839e+03	+8.904e+03	+1.053e+04	+0.758
2.400	+1.987e+03	+8.055e+03	+1.058e+04	+0.802
2.500	+1.744e+03	+8.820e+03	+8.795e+03	+0.835
2.600	+1.903e+03	+9.125e+03	+1.073e+04	+0.827
2.700	+1.404e+03	+1.010e+04	+9.905e+03	+0.878
2.800	+2.238e+03	+7.668e+03	+9.495e+03	+0.774
2.900	+1.947e+03	+8.476e+03	+9.175e+03	+0.813
3.000	+1.750e+03	+8.728e+03	+9.447e+03	+0.833
3.100	+8.175e+02	+8.005e+03	+9.515e+03	+0.907
3.200	+2.326e+03	+8.004e+03	+8.561e+03	+0.775
3.300	+2.522e+03	+6.638e+03	+1.024e+04	+0.725
3.400	+1.063e+03	+8.703e+03	+8.735e+03	+0.891
3.500	+3.443e+03	+8.100e+03	+1.043e+04	+0.702
3.600	+1.919e+03	+8.538e+03	+1.036e+04	+0.816
3.700	+2.469e+03	+7.359e+03	+9.718e+03	+0.749
3.800	+2.267e+03	+8.176e+03	+9.800e+03	+0.783
3.900	+2.044e+03	+8.057e+03	+9.322e+03	+0.798
4.000	+3.369e+03	+8.498e+03	+9.793e+03	+0.716
4.100	+1.601e+03	+9.008e+03	+1.027e+04	+0.849
4.200	+2.105e+03	+7.881e+03	+1.100e+04	+0.789
4.300	+2.154e+03	+8.777e+03	+1.114e+04	+0.803
4.400	+2.586e+03	+8.904e+03	+9.647e+03	+0.775
4.500	+1.503e+03	+8.143e+03	+1.149e+04	+0.844
4.600	+2.020e+03	+7.379e+03	+9.474e+03	+0.785
4.700	+2.724e+03	+7.780e+03	+9.283e+03	+0.741
4.800	+2.403e+03	+8.593e+03	+1.051e+04	+0.781
4.900	+2.049e+03	+7.682e+03	+1.109e+04	+0.789
5.000	+2.390e+03	+7.802e+03	+1.018e+04	+0.766
5.100	+2.559e+03	+7.031e+03	+1.072e+04	+0.733
5.200	+9.794e+02	+7.371e+03	+1.070e+04	+0.883
5.300	+1.318e+03	+7.402e+03	+9.892e+03	+0.849
5.400	+1.063e+03	+8.635e+03	+1.039e+04	+0.890
5.500	+8.386e+02	+8.488e+03	+9.276e+03	+0.910
5.600	+2.104e+03	+9.067e+03	+9.645e+03	+0.812
5.700	+1.703e+03	+8.548e+03	+9.209e+03	+0.834
5.800	+1.912e+03	+7.961e+03	+1.016e+04	+0.806
5.900	+2.084e+03	+9.020e+03	+9.797e+03	+0.812
6.000	+1.964e+03	+8.132e+03	+1.081e+04	+0.805
6.100	+2.857e+03	+7.834e+03	+9.338e+03	+0.733
