%t (s)	Idd (a.u.)	Ida (a.u.)	Iaa (a.u.)	FRET E
0.000	+6.937e+03	+2.670e+03	+1.039e+04	+0.278
0.100	+7.210e+03	+2.501e+03	+9.154e+03	+0.258
0.200	+7.874e+03	+2.544e+03	+1.046e+04	+0.244
0.300	+7.532e+03	+3.493e+02	+9.394e+03	+0.044
0.400	+8.205e+03	+1.811e+03	+1.018e+04	+0.181
0.500	+7.069e+03	+2.147e+03	+9.350e+03	+0.233
0.600	+7.645e+03	+3.099e+03	+1.038e+04	+0.288
0.700	+7.195e+03	+4.065e+03	+9.861e+03	+0.361
0.800	+8.113e+03	+1.385e+03	+1.020e+04	+0.146
0.900	+7.283e+03	+3.184e+03	+9.797e+03	+0.304
1.000	+7.829e+03	+1.886e+03	+9.563e+03	+0.194
1.100	+7.923e+03	+1.744e+03	+1.036e+04	+0.180
1.200	+7.042e+03	+2.865e+03	+1.011e+04	+0.289
1.300	+6.688e+03	+2.509e+03	+1.056e+04	+0.273
1.400	+6.615e+03	+2.653e+03	+1.090e+04	+0.286
1.500	+7.024e+03	+1.737e+03	+1.024e+04	+0.198
1.600	+7.100e+03	+1.954e+03	+1.021e+04	+0.216
1.700	+7.405e+03	+3.030e+03	+1.130e+04	+0.290
1.800	+7.374e+03	+2.730e+03	+1.025e+04	+0.270
1.900	+7.788e+03	+3.274e+03	+1.206e+04	+0.296
2.000	+7.885e+03	+1.968e+03	+8.913e+03	+0.200
2.100	+7.306e+03	+1.991e+03	+1.031e+04	+0.214
2.200	+8.180e+03	+1.984e+03	+1.027e+04	+0.195
2.300	+7.394e+03	+1.186e+03	+9.169e+03	+0.138
2.400	+7.851e+03	+2.045e+03	+1.049e+04	+0.207
2.500	+8.004e+03	+2.181e+03	+1.049e+04	+0.214
2.600	+8.322e+03	+2.650e+03	+1.095e+04	+0.242
2.700	+7.482e+03	+2.479e+03	+8.864e+03	+0.249
2.800	+7.697e+03	+2.201e+03	+1.063e+04	+0.222
2.900	+7.629e+03	+1.400e+03	+9.047e+03	+0.155
3.000	+8.602e+03	+1.862e+03	+1.002e+04	+0.178
3.100	+7.003e+03	+2.151e+03	+9.001e+03	+0.235
3.200	+6.735e+03	+3.686e+03	+1.061e+04	+0.354
3.300	+6.933e+03	+2.926e+03	+1.016e+04	+0.297
3.400	+7.652e+03	+2.569e+03	+1.029e+04	+0.251
3.500	+7.490e+03	+1.928e+03	+1.058e+04	+0.205
3.600	+7.433e+03	+2.525e+03	+1.025e+04	+0.254
3.700	+7.515e+03	+2.746e+03	+1.027e+04	+0.268
3.800	+6.711e+03	+2.175e+03	+1.024e+04	+0.245
3.900	+7.564e+03	+2.752e+03	+1.013e+04	+0.267
4.000	+7.800e+03	+3.026e+03	+9.491e+03	+0.279
4.100	+7.953e+03	+2.238e+03	+9.824e+03	+0.220
4.200	+7.894e+03	+1.524e+03	+9.914e+03	+0.162
4.300	+6.977e+03	+2.351e+03	+1.116e+04	+0.252
4.400	+7.745e+03	+1.930e+03	+1.105e+04	+0.199
4.500	+6.369e+03	+3.906e+03	+9.023e+03	+0.380
4.600	+5.745e+03	+5.042e+03	+9.758e+03	+0.467
4.700	+6.608e+03	+4.078e+03	+9.850e+03	+0.382
4.800	+7.488e+03	+2.168e+03	+1.015e+04	+0.225
4.900	+6.971e+03	+2.019e+03	+9.250e+03	+0.225
5.000	+6.481e+03	+1.679e+03	+9.167e+03	+0.206
5.100	+7.280e+03	+2.400e+03	+9.708e+03	+0.248
5.200	+7.339e+03	+3.411e+03	+9.208e+03	+0.317
5.300	+7.399e+03	+2.452e+03	+1.024e+04	+0.249
5.400	+8.233e+03	+2.582e+03	+9.886e+03	+0.239
5.500	+6.670e+03	+2.421e+03	+8.978e+03	+0.266
5.600	+7.504e+03	+1.975e+03	+1.013e+04	+0.208
5.700	+7.365e+03	+2.512e+03	+9.582e+03	+0.254
5.800	+7.297e+03	+2.683e+03	+1.007e+04	+0.269
5.900	+6.856e+03	+1.455e+03	+7.599e+03	+0.175
6.000	+7.424e+03	+2.629e+03	+1.008e+04	+0.262
6.100	+7.778e+03	+3.248e+03	+9.754e+03	+0.295
6.200	+7.639e+03	+2.625e+03	+9.772e+03	+0.256
6.300	+7.436e+03	+3.916e+03	+1.071e+04	+0.345
6.400	+7.687e+03	+2.560e+03	+9.662e+03	+0.250
6.500	+5.536e+03	+3.009e+03	+9.276e+03	+0.352
6.600	+7.995e+03	+2.416e+03	+9.345e+03	+0.232
6.700	+7.387e+03	+1.284e+03	+1.135e+04	+0.148
6.800	+7.765e+03	+2.789e+03	+1.065e+04	+0.264
6.900	+7.464e+03	+1.962e+03	+9.885e+03	+0.208
7.000	+6.880e+03	+4.470e+03	+1.053e+04	+0.394
7.100	+8.290e+03	+1.363e+03	+1.033e+04	+0.141
7.200	+6.967e+03	+2.155e+03	+9.089e+03	+0.236
7.300	+7.994e+03	+3.089e+03	+1.089e+04	+0.279
7.400	+7.447e+03	+2.927e+03	+9.746e+03	+0.282
7.500	+6.993e+03	+3.089e+03	+9.379e+03	+0.306
7.600	+7.586e+03	+2.477e+03	+1.028e+04	+0.246
7.700	+7.324e+03	+3.185e+03	+9.645e+03	+0.303
7.800	+7.200e+03	+2.143e+03	+9.665e+03	+0.229
7.900	+7.972e+03	+2.306e+03	+9.131e+03	+0.224
8.000	+7.693e+03	+3.740e+03	+1.040e+04	+0.327
8.100	+7.234e+03	+1.758e+03	+1.074e+04	+0.196
8.200	+8.074e+03	+3.165e+03	+9.670e+03	+0.282
8.300	+7.627e+03	+2.383e+03	+1.100e+04	+0.238
8.400	+7.564e+03	+2.416e+03	+1.010e+04	+0.242
8.500	+7.197e+03	+1.553e+03	+9.427e+03	+0.177
8.600	+8.574e+03	+2.112e+03	+9.773e+03	+0.198
8.700	+8.040e+03	+3.228e+03	+1.008e+04	+0.286
8.800	+7.611e+03	+2.353e+03	+9.470e+03	+0.236
8.900	+9.075e+03	+2.224e+03	+1.064e+04	+0.197
9.000	+7.825e+03	+1.802e+03	+1.130e+04	+0.187
9.100	+6.707e+03	+2.323e+03	+9.368e+03	+0.257
9.200	+7.474e+03	+2.970e+03	+8.650e+03	+0.284
9.300	+8.146e+03	+3.249e+03	+9.052e+03	+0.285
9.400	+6.825e+03	+3.100e+03	+9.809e+03	+0.312
9.500	+7.189e+03	+3.177e+03	+9.717e+03	+0.306
9.600	+7.776e+03	+2.240e+03	+9.818e+03	+0.224
9.700	+9.198e+03	+1.988e+03	+9.992e+03	+0.178
9.800	+6.924e+03	+2.044e+03	+1.027e+04	+0.228
9.900	+8.072e+03	+2.556e+03	+1.047e+04	+0.241
10.000	+8.430e+03	+3.505e+03	+1.001e+04	+0.294
10.100	+7.383e+03	+2.423e+03	+1.132e+04	+0.247
10.200	+8.064e+03	+2.705e+03	+8.863e+03	+0.251
10.300	+7.087e+03	+3.104e+03	+9.463e+03	+0.305
10.400	+7.688e+03	+1.750e+03	+9.708e+03	+0.185
10.500	+6.726e+03	+3.237e+03	+1.139e+04	+0.325
